DGalp(3S)b1-4(LFucpa1-3)DGlcp(6S)b1-OME / α-l-Fuciii (1→3) [β-d-Gal3SO3ii (1→4) ]β-d-GlcOMe6SO3i,,,,,,,,
,,,,,,,,
"→3,4) β-d-GlcOMe6SO3i",1,2,3,4,5,6,6,Me_1
"→3,4) β-d-GlcOMe6SO3i",104.03,75.06,78.04,73.54,74.21,67.11,,57.95
Expected Calc. Error: 0.17,4.41,3.55,3.8,3.91,3.79,4.31,4.44,3.57
,1,2,3,4,5,6,6,
β-d-Gal3SO3ii (1→,102.44,70.6,81.41,67.39,75.43,62.32,,
Expected Calc. Error: 1.26,4.49,3.64,4.32,4.26,3.66,3.73,3.76,
,1,2,3,4,5,6,,
α-l-Fuciii (1→,99.19,69.07,70.25,72.88,67.3,16.05,,
Expected Calc. Error: 0.00,5.43,3.81,3.95,3.8,4.75,1.2,,
,,,,,,,,
