LFucpa1-2DGalpb1-3DGlcpNAcb1-2DManpa1-6(LFucpa1-2DGalpb1-3DGlcpNAcb1-2DManpa1-3)DManpb1-4DGlcpNAcb1-4(LFucpa1-6)DGlcpNAcb1-OME / α-l-Fucxii (1→2) β-d-Galxi (1→3) β-d-GlcNAcx (1→2) α-d-Manix (1→3) [α-l-Fucviii (1→2) β-d-Galvii (1→3) β-d-GlcNAcvi (1→2) α-d-Manv (1→6) ]β-d-Maniv (1→4) β-d-GlcNAciii (1→4) [α-l-Fucii (1→6) ]β-d-GlcNAcOMei,,,,,,,,,,
,,,,,,,,,,
,1,2,3,4,5,6,6,Me_2,CO_2,Me_1
"→4,6) β-d-GlcNAcOMei",102.79,55.73,73.39,80.58,74.74,67.62,,23.02,175.34,58.05
Expected Calc. Error: 0.24,4.44,3.72,3.71,3.65,3.63,3.68,3.93,2.03,,3.51
α-l-Fucii (1→,100.07,69.2,70.59,72.75,67.52,16.06,,,,
Expected Calc. Error: 0.24,4.93,3.8,3.87,3.81,4.09,1.23,,,,
→4) β-d-GlcNAciii (1→,102.51,56.25,73.13,79.94,75.8,61.26,,23.46,175.43,
Expected Calc. Error: 0.67,4.64,3.84,3.8,3.8,3.67,3.79,3.92,2.13,,
"→3,6) β-d-Maniv (1→",101.27,71.14,81.91,66.77,76.04,67.06,,,,
Expected Calc. Error: 8.08,4.76,4.24,3.78,3.79,3.63,3.77,4.03,,,
→2) α-d-Manv (1→,97.88,77.75,70.55,68.3,73.8,62.37,,,,
Expected Calc. Error: 5.00,4.92,4.08,3.85,3.55,3.65,3.71,3.9,,,
→3) β-d-GlcNAcvi (1→,101.38,55.5,78.31,69.58,76.43,61.96,,23.28,175.5,
Expected Calc. Error: 5.00,4.51,3.8,4.01,3.51,3.48,3.78,3.93,2.04,,
→2) β-d-Galvii (1→,101.11,77.44,74.51,70.03,75.68,61.76,,,,
Expected Calc. Error: 0.00,4.64,3.62,3.84,3.92,3.68,3.82,3.9,,,
α-l-Fucviii (1→,100.28,69.09,70.48,72.76,67.29,16.12,,,,
Expected Calc. Error: 0.00,5.21,3.8,3.71,3.78,4.3,1.2,,,,
→2) α-d-Manix (1→,100.21,77.76,70.3,68.23,74.21,62.42,,,,
Expected Calc. Error: 2.42,5.13,4.15,3.89,3.56,3.69,3.7,3.88,,,
→3) β-d-GlcNAcx (1→,101.27,55.38,78.23,69.55,76.43,61.95,,23.27,175.52,
Expected Calc. Error: 1.36,4.47,3.8,4,3.51,3.47,3.78,3.93,2.04,,
→2) β-d-Galxi (1→,101.11,77.44,74.51,70.03,75.68,61.76,,,,
Expected Calc. Error: 0.00,4.64,3.62,3.84,3.92,3.68,3.82,3.9,,,
α-l-Fucxii (1→,100.28,69.09,70.48,72.76,67.29,16.12,,,,
Expected Calc. Error: 0.00,5.21,3.8,3.71,3.78,4.3,1.2,,,,
,,,,,,,,,,
,,,,,,,,,,
