LFucpa1-3DGlcpNAcb1-6(DGalpb1-4DGlcpNAcb1-3)DGalpb1-4DGlcpb1-OME / β-d-Galvi (1→4) β-d-GlcNAcv (1→3) [α-l-Fuciv (1→3) β-d-GlcNAciii (1→6) ]β-d-Galii (1→4) β-d-GlcOMei,,,,,,,,,,
,,,,,,,,,,
,1,2,3,4,5,6,6,Me_2,CO_2,Me_1
→4) β-d-GlcOMei,103.95,73.71,75.34,79.69,75.64,61.24,,,,57.91
Expected Calc. Error: 0.00,4.4,3.33,3.66,3.64,3.6,3.82,3.99,,,3.58
"→3,6) β-d-Galii (1→",103.69,70.83,82.66,69.11,74.25,69.54,,,,
Expected Calc. Error: 0.17,4.45,3.62,3.72,4.12,3.81,3.8,4.05,,,
→3) β-d-GlcNAciii (1→,101.97,55.98,81.44,69.65,76.65,61.7,,23.05,175.29,
Expected Calc. Error: 0.67,4.61,3.84,3.7,3.54,3.51,3.78,3.96,2.03,,
α-l-Fuciv (1→,100.59,68.86,70.46,72.67,67.8,15.97,,,,
Expected Calc. Error: 0.50,5,3.73,3.83,3.81,4.31,1.18,,,,
→4) β-d-GlcNAcv (1→,103.14,56.28,73.09,79.66,75.47,61.24,,23.25,175.47,
Expected Calc. Error: 0.17,4.77,3.78,3.76,3.71,3.62,3.85,3.98,2.04,,
β-d-Galvi (1→,103.8,71.89,73.55,69.48,76.18,61.8,,,,
Expected Calc. Error: 0.17,4.48,3.57,3.67,3.95,3.73,3.77,3.79,,,
,,,,,,,,,,
