DGalpa1-3(LFucpa1-2)DGalpb1-3DGlcpNAcb1-6DGalpNAca1-OME / α-l-Fucv (1→2) [α-d-Galiv (1→3) ]β-d-Galiii (1→3) β-d-GlcNAcii (1→6) α-d-GalNAcOMei,,,,,,,,,,
,,,,,,,,,,
,1,2,3,4,5,6,6,Me_2,CO_2,Me_1
→6) α-d-GalNAcOMei,99.03,50.83,68.57,69.54,70,69.73,,22.91,175.43,55.88
Expected Calc. Error: 0.29,4.84,4.2,3.9,4.02,4.02,3.82,4.06,2.06,,3.41
→3) β-d-GlcNAcii (1→,102.87,55.55,78.64,69.63,76.39,62.06,,23.13,175.27,
Expected Calc. Error: 0.24,4.5,3.8,4,3.51,3.5,3.78,3.95,2.03,,
"→2,3) β-d-Galiii (1→",101.11,72.95,77.79,64.95,75.26,61.84,,,,
Expected Calc. Error: 1.22,4.7,3.85,3.97,4.24,3.68,3.83,3.91,,,
α-d-Galiv (1→,94.43,69,70.24,70.38,72.04,62.11,,,,
Expected Calc. Error: 1.22,5.25,3.89,3.89,4.01,4.22,3.75,3.75,,,
α-l-Fucv (1→,99.28,68.5,70.51,72.78,67.26,16.05,,,,
Expected Calc. Error: 0.00,5.27,3.79,3.65,3.77,4.4,1.21,,,,
,,,,,,,,,,
