DGalpb1-3DGalpNAcb1-4(DNeup5Aca2-3)DGalpb1-4DGlcpb1-OME / aNeu5Acv (2→3) [β-d-Galiv (1→3) β-d-GalNAciii (1→4) ]β-d-Galii (1→4) β-d-GlcOMei,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1,2,3,3,4,5,6,6,7,8,9,9,Me_2,CO_2,Me_1,CO_5,Me_5
→4) β-d-GlcOMei,103.95,73.71,75.34,,79.69,75.64,61.24,,,,,,,,57.91,,
Expected Calc. Error: 0.00,4.4,3.33,3.66,,3.64,3.6,3.82,3.99,,,,,,,3.58,,
"→3,4) β-d-Galii (1→",103.57,71.1,75.79,,79.42,75.26,61.49,,,,,,,,,,
Expected Calc. Error: 2.04,4.54,3.37,4.35,,4.49,3.8,3.78,3.92,,,,,,,,,
→3) β-d-GalNAciii (1→,104.35,52.36,81.75,,68.75,75.54,61.97,,,,,,23.34,175.53,,,
Expected Calc. Error: 3.09,4.72,4.19,3.82,,4.18,3.77,3.79,3.82,,,,,2.02,,,,
β-d-Galiv (1→,105.28,71.64,73.55,,69.53,75.83,61.85,,,,,,,,,,
Expected Calc. Error: 1.06,4.48,3.55,3.63,,3.93,3.66,3.77,3.77,,,,,,,,,
aNeu5Acv (2→,174.52,102.33,38.37,,69.38,52.65,73.92,,69.13,72.94,63.81,,,,,175.96,22.91
Expected Calc. Error: 0.00,,,1.9,2.7,3.81,3.81,3.53,,3.61,3.75,3.66,3.86,,,,,2.05
,,,,,,,,,,,,,,,,,
