DGlcpNAcb1-6(DGalpb1-4DGlcpNAcb1-3)DGalpb1-4DGlcpNAcb1-OME / β-d-Galv (1→4) β-d-GlcNAciv (1→3) [β-d-GlcNAciii (1→6) ]β-d-Galii (1→4) β-d-GlcNAcOMei,,,,,,,,,,
,,,,,,,,,,
,1,2,3,4,5,6,6,Me_2,CO_2,Me_1
→4) β-d-GlcNAcOMei,102.66,55.92,73.37,79.87,75.66,61.22,,23.04,175.33,57.8
Expected Calc. Error: 0.00,4.49,3.72,3.73,3.69,3.6,3.84,4,2.04,,3.51
"→3,6) β-d-Galii (1→",103.68,70.83,82.63,69.1,74.27,69.53,,,,
Expected Calc. Error: 0.17,4.47,3.62,3.72,4.12,3.81,3.8,4.03,,,
β-d-GlcNAciii (1→,102.23,56.46,74.69,71.02,76.75,61.77,,23.04,175.22,
Expected Calc. Error: 0.17,4.58,3.7,3.58,3.46,3.47,3.76,3.94,2.04,,
→4) β-d-GlcNAciv (1→,103.14,56.28,73.09,79.66,75.47,61.24,,23.25,175.47,
Expected Calc. Error: 0.17,4.77,3.78,3.76,3.71,3.62,3.85,3.98,2.04,,
β-d-Galv (1→,103.8,71.89,73.55,69.48,76.18,61.8,,,,
Expected Calc. Error: 0.17,4.48,3.57,3.67,3.95,3.73,3.77,3.79,,,
,,,,,,,,,,
