DNeup5Aca2-3DGalpb1-4(LFucpa1-3)DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-OME / α-l-Fucvi (1→3) [aNeu5Acv (2→3) β-d-Galiv (1→4) ]β-d-GlcNAciii (1→3) β-d-Galii (1→4) β-d-GlcNAcOMei,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1,2,3,3,4,5,6,6,7,8,9,9,Me_2,CO_2,Me_1,CO_5,Me_5
→4) β-d-GlcNAcOMei,102.66,55.92,73.37,,79.87,75.66,61.22,,,,,,23.04,175.33,57.8,,
Expected Calc. Error: 0.00,4.49,3.72,3.73,,3.69,3.6,3.84,4,,,,,2.04,,3.51,,
→3) β-d-Galii (1→,103.8,70.92,82.78,,69.09,75.78,61.74,,,,,,,,,,
Expected Calc. Error: 0.00,4.48,3.63,3.73,,4.14,3.72,3.77,3.79,,,,,,,,,
"→3,4) β-d-GlcNAciii (1→",102.96,56.82,75.56,,74.37,76.18,60.91,,,,,,23.31,175.25,,,
Expected Calc. Error: 1.00,4.79,3.94,3.94,,3.94,3.64,3.88,4,,,,,2.03,,,,
→3) β-d-Galiv (1→,102.57,70.34,76.45,,67.77,75.83,62.16,,,,,,,,,,
Expected Calc. Error: 0.50,4.53,3.53,4.1,,3.94,3.53,3.77,3.8,,,,,,,,,
aNeu5Acv (2→,174.4,100.82,40.68,,69.08,52.71,73.82,,69.25,72.6,63.69,,,,,175.9,22.88
Expected Calc. Error: 0.00,,,1.79,2.78,3.73,3.84,3.69,,3.6,3.88,3.67,3.87,,,,,2.05
α-l-Fucvi (1→,99.24,68.71,70.21,,72.8,67.49,16.08,,,,,,,,,,
Expected Calc. Error: 0.83,5.11,3.71,3.9,,3.8,4.77,1.19,,,,,,,,,,
,,,,,,,,,,,,,,,,,
