DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-3DGalpb1-3DGlcpNAcb1-OME / aNeu5Acv (2→6) β-d-Galiv (1→4) β-d-GlcNAciii (1→3) β-d-Galii (1→3) β-d-GlcNAcOMei,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1,2,3,3,4,5,6,6,7,8,9,9,Me_2,CO_2,Me_1,CO_5,Me_5
→3) β-d-GlcNAcOMei,102.51,55.32,83.66,,69.78,76.34,61.81,,,,,,23.15,175.4,57.8,,
Expected Calc. Error: 0.00,4.52,3.8,3.81,,3.54,3.49,3.77,3.94,,,,,2.03,,3.52,,
→3) β-d-Galii (1→,104.3,70.68,82.75,,69.06,75.73,61.75,,,,,,,,,,
Expected Calc. Error: 0.00,4.42,3.61,3.7,,4.12,3.69,3.78,3.78,,,,,,,,,
→4) β-d-GlcNAciii (1→,103.14,56.28,73.09,,79.66,75.47,61.24,,,,,,23.25,175.47,,,
Expected Calc. Error: 0.17,4.77,3.78,3.76,,3.71,3.62,3.85,3.98,,,,,2.04,,,,
→6) β-d-Galiv (1→,103.89,71.78,73.4,,69,74.88,64.18,,,,,,,,,,
Expected Calc. Error: 0.17,4.47,3.55,3.67,,3.94,3.75,3.72,4.03,,,,,,,,,
aNeu5Acv (2→,174.03,101.34,40.97,,69.18,52.8,73.43,,69.49,72.66,63.74,,,,,175.78,22.9
Expected Calc. Error: 0.00,,,1.72,2.73,3.7,3.84,3.73,,3.58,3.89,3.67,3.88,,,,,2.04
,,,,,,,,,,,,,,,,,
