Residual,Connection,Atom,Shift,Residual Num
B-D-FRUF, ,H11,3.65,999
B-D-FRUF, ,H12,3.74,999
B-D-FRUF, ,H3,4.2,999
B-D-FRUF, ,H4,4.06,999
B-D-FRUF, ,H5,3.83,999
B-D-FRUF, ,H61,3.84,999
B-D-FRUF, ,H62,3.82,999
B-D-FRUF,2,H11,3.89,999
B-D-FRUF,2,H12,3.72,999
B-D-FRUF,2,H3,4.32,999
B-D-FRUF,2,H4,4.02,999
B-D-FRUF,2,H5,3.83,999
B-D-FRUF,2,H6,3.8,999
A-D-GLCP," 2, 2",H1,5.61,1
A-D-GLCP," 2, 2",H2,3.83,1
A-D-GLCP," 2, 2",H3,3.87,1
A-D-GLCP," 2, 2",H4,3.54,1
A-D-GLCP," 2, 2",H5,3.9,1
A-D-GLCP," 2, 2",H61,3.81,1
A-D-GLCP," 2, 2",H62,3.79,1
A-D-GLCP," 2, 2, 2",H1,5.36,2
A-D-GLCP," 2, 2, 2",H2,3.64,2
A-D-GLCP," 2, 2, 2",H3,3.82,2
A-D-GLCP," 2, 2, 2",H4,3.44,2
A-D-GLCP," 2, 2, 2",H5,3.8,2
A-D-GLCP," 2, 2, 2",H61,3.85,2
A-D-GLCP," 2, 2, 2",H62,3.74,2
A-D-GLCP," 2, 2, 2, 2",H1,5.27,3
A-D-GLCP," 2, 2, 2, 2",H2,3.59,3
A-D-GLCP," 2, 2, 2, 2",H3,4.03,3
A-D-GLCP," 2, 2, 2, 2",H4,3.49,3
A-D-GLCP," 2, 2, 2, 2",H5,3.98,3
A-D-GLCP," 2, 2, 2, 2",H6,3.79,3
A-D-GLCP," 2, 2, 2, 2, 2",H1,5.09,4
A-D-GLCP," 2, 2, 2, 2, 2",H2,3.57,4
A-D-GLCP," 2, 2, 2, 2, 2",H3,3.78,4
A-D-GLCP," 2, 2, 2, 2, 2",H4,3.45,4
A-D-GLCP," 2, 2, 2, 2, 2",H5,3.92,4
A-D-GLCP," 2, 2, 2, 2, 2",H6,3.8,4
B-D-FRUF, ,C1,61.49,999
B-D-FRUF, ,C2,104.76,999
B-D-FRUF, ,C3,77.09,999
B-D-FRUF, ,C4,75.19,999
B-D-FRUF, ,C5,81.79,999
B-D-FRUF, ,C6,63.04,999
B-D-FRUF,2,C1,61.83,999
B-D-FRUF,2,C2,104.32,999
B-D-FRUF,2,C3,76.59,999
B-D-FRUF,2,C4,74.29,999
B-D-FRUF,2,C5,82.13,999
B-D-FRUF,2,C6,63.1,999
A-D-GLCP," 2, 2",C1,92.04,1
A-D-GLCP," 2, 2",C2,79.51,1
A-D-GLCP," 2, 2",C3,72.79,1
A-D-GLCP," 2, 2",C4,69.48,1
A-D-GLCP," 2, 2",C5,72.96,1
A-D-GLCP," 2, 2",C6,60.78,1
A-D-GLCP," 2, 2, 2",C1,97.17,2
A-D-GLCP," 2, 2, 2",C2,78.67,2
A-D-GLCP," 2, 2, 2",C3,72.68,2
A-D-GLCP," 2, 2, 2",C4,70.55,2
A-D-GLCP," 2, 2, 2",C5,73.36,2
A-D-GLCP," 2, 2, 2",C6,61.24,2
A-D-GLCP," 2, 2, 2, 2",C1,96.78,3
A-D-GLCP," 2, 2, 2, 2",C2,77.66,3
A-D-GLCP," 2, 2, 2, 2",C3,71.82,3
A-D-GLCP," 2, 2, 2, 2",C4,70.36,3
A-D-GLCP," 2, 2, 2, 2",C5,72.59,3
A-D-GLCP," 2, 2, 2, 2",C6,61.05,3
A-D-GLCP," 2, 2, 2, 2, 2",C1,98.28,4
A-D-GLCP," 2, 2, 2, 2, 2",C2,72.08,4
A-D-GLCP," 2, 2, 2, 2, 2",C3,73.53,4
A-D-GLCP," 2, 2, 2, 2, 2",C4,70.13,4
A-D-GLCP," 2, 2, 2, 2, 2",C5,72.62,4
A-D-GLCP," 2, 2, 2, 2, 2",C6,61.0,4
