Residual,Connection,Atom,Shift,Residual Num
A-D-MANP, ,H1,5.055,1
A-D-MANP, ,H2,4.01,1
A-D-MANP, ,H3,3.92,1
A-D-MANP, ,H4,3.7,1
A-D-MANP, ,H5,3.89,1
A-D-MANP, ,H61,3.885,1
A-D-MANP, ,H62,3.78,1
B-D-GALP,1,H1,4.53,2
B-D-GALP,1,H2,3.63,2
B-D-GALP,1,H3,3.795,2
B-D-GALP,1,H4,4.24,2
B-D-GALP,1,H5,3.9,2
B-D-GALP,1,H61,4.07,2
B-D-GALP,1,H62,3.93,2
A-D-MANP, ,C1,97.5,1
A-D-MANP, ,C2,71.5,1
A-D-MANP, ,C3,71.7,1
A-D-MANP, ,C4,67.9,1
A-D-MANP, ,C5,74.06,1
A-D-MANP, ,C6,62.2,1
B-D-GALP,1,C1,104.4,2
B-D-GALP,1,C2,70.5,2
B-D-GALP,1,C3,77.5,2
B-D-GALP,1,C4,65.6,2
B-D-GALP,1,C5,74.6,2
B-D-GALP,1,C6,70.5,2
