0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcOMei,103.95,73.71,75.34,79.69,75.64,61.24,,,,57.91
Expected Calc. Error: 0.00,4.4,3.33,3.66,3.64,3.6,3.82,3.99,,,3.58
→3) β-d-Galii (1→,103.81,70.92,82.81,69.1,75.76,61.75,,,,
Expected Calc. Error: 0.00,4.46,3.63,3.73,4.14,3.72,3.78,3.8,,,
→4) β-d-GlcNAciii (1→,103.14,56.28,73.09,79.66,75.47,61.24,,23.25,175.47,
Expected Calc. Error: 0.17,4.77,3.78,3.76,3.71,3.62,3.85,3.98,2.04,,
→4) β-d-Galiv (1→,102.08,72.15,73.16,77.86,76.06,60.86,,,,
Expected Calc. Error: 0.43,4.64,3.57,3.74,4.05,3.79,3.82,3.89,,,
α-d-Galv (1→,101.1,69.6,70.0,69.8,71.1,61.8,,,,
Expected Calc. Error: 0.27,4.97,3.83,3.91,4.03,4.36,3.7,3.7,,,
