0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcOMei,103.95,73.71,75.34,79.69,75.64,61.24,,,,57.91
Expected Calc. Error: 0.00,4.4,3.33,3.66,3.64,3.6,3.82,3.99,,,3.58
"→3,6) β-d-Galii (1→",103.69,70.83,82.66,69.11,74.25,69.54,,,,
Expected Calc. Error: 0.17,4.45,3.62,3.72,4.12,3.81,3.8,4.05,,,
→4) β-d-GlcNAciii (1→,102.13,55.99,73.16,79.83,75.62,61.17,,23.02,175.2,
Expected Calc. Error: 0.33,4.61,3.76,3.75,3.7,3.62,3.86,4.01,2.04,,
→3) β-d-Galiv (1→,103.8,70.92,82.78,69.09,75.78,61.74,,,,
Expected Calc. Error: 0.17,4.48,3.63,3.73,4.14,3.72,3.77,3.79,,,
→3) β-d-GlcNAcv (1→,102.99,55.68,83.38,69.57,76.15,61.83,,23.36,175.54,
Expected Calc. Error: 0.00,4.8,3.86,3.84,3.56,3.51,3.78,3.92,2.03,,
β-d-Galvi (1→,104.3,71.65,73.52,69.45,76.13,61.81,,,,
Expected Calc. Error: 0.00,4.42,3.55,3.64,3.93,3.7,3.78,3.78,,,
→3) β-d-GlcNAcvii (1→,102.99,55.68,83.38,69.57,76.15,61.83,,23.36,175.54,
Expected Calc. Error: 0.00,4.8,3.86,3.84,3.56,3.51,3.78,3.92,2.03,,
β-d-Galviii (1→,104.3,71.65,73.52,69.45,76.13,61.81,,,,
Expected Calc. Error: 0.00,4.42,3.55,3.64,3.93,3.7,3.78,3.78,,,
