0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcOMei,103.95,73.71,75.34,79.69,75.64,61.24,,,,57.91
Expected Calc. Error: 0.00,4.4,3.33,3.66,3.64,3.6,3.82,3.99,,,3.58
"→3,6) β-d-Galii (1→",103.69,70.83,82.66,69.11,74.25,69.54,,,,
Expected Calc. Error: 0.17,4.45,3.62,3.72,4.12,3.81,3.8,4.05,,,
"→3,4) β-d-GlcNAciii (1→",101.95,56.53,75.63,74.54,76.33,60.84,,23.08,174.98,
Expected Calc. Error: 1.17,4.63,3.92,3.93,3.92,3.63,3.88,4.03,2.04,,
β-d-Galiv (1→,102.71,72.0,73.52,69.22,75.72,62.17,,,,
Expected Calc. Error: 0.50,4.46,3.51,3.66,3.93,3.61,3.74,3.74,,,
α-l-Fucv (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.83,5.11,3.71,3.9,3.8,4.77,1.19,,,,
→3) β-d-GlcNAcvi (1→,102.99,55.68,83.38,69.57,76.15,61.83,,23.36,175.54,
Expected Calc. Error: 0.00,4.8,3.86,3.84,3.56,3.51,3.78,3.92,2.03,,
β-d-Galvii (1→,104.3,71.65,73.52,69.45,76.13,61.81,,,,
Expected Calc. Error: 0.00,4.42,3.55,3.64,3.93,3.7,3.78,3.78,,,
