0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
"→3,6) α-d-GalNAcOMei",99.12,49.4,78.0,69.54,69.76,69.85,,22.94,175.32,55.99
Expected Calc. Error: 0.29,4.78,4.34,3.99,4.21,4.03,3.81,4.02,2.06,,3.39
→4) β-d-GlcNAcii (1→,102.13,55.99,73.16,79.83,75.62,61.17,,23.02,175.2,
Expected Calc. Error: 0.41,4.61,3.76,3.75,3.7,3.62,3.86,4.01,2.04,,
→3) β-d-Galiii (1→,103.8,70.92,82.78,69.09,75.78,61.74,,,,
Expected Calc. Error: 0.17,4.48,3.63,3.73,4.14,3.72,3.77,3.79,,,
→4) β-d-GlcNAciv (1→,103.14,56.28,73.09,79.66,75.47,61.24,,23.25,175.47,
Expected Calc. Error: 0.17,4.77,3.78,3.76,3.71,3.62,3.85,3.98,2.04,,
β-d-Galv (1→,103.8,71.89,73.55,69.48,76.18,61.8,,,,
Expected Calc. Error: 0.17,4.48,3.57,3.67,3.95,3.73,3.77,3.79,,,
β-d-Galvi (1→,105.28,71.64,73.55,69.53,75.83,61.85,,,,
Expected Calc. Error: 0.00,4.48,3.55,3.63,3.93,3.66,3.77,3.77,,,
