0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcOMei,103.95,73.71,75.34,79.69,75.64,61.24,,,,57.91
Expected Calc. Error: 0.00,4.4,3.33,3.66,3.64,3.6,3.82,3.99,,,3.58
"→3,6) β-d-Galii (1→",103.69,70.83,82.66,69.11,74.25,69.54,,,,
Expected Calc. Error: 0.17,4.45,3.62,3.72,4.12,3.81,3.8,4.05,,,
→4) β-d-GlcNAciii (1→,102.13,55.99,73.16,79.83,75.62,61.17,,23.02,175.2,
Expected Calc. Error: 0.33,4.61,3.76,3.75,3.7,3.62,3.86,4.01,2.04,,
β-d-Galiv (1→,103.8,71.89,73.55,69.48,76.18,61.8,,,,
Expected Calc. Error: 0.17,4.48,3.57,3.67,3.95,3.73,3.77,3.79,,,
→3) β-d-GlcNAcv (1→,103.88,55.84,78.57,69.46,76.24,62.13,,23.36,175.54,
Expected Calc. Error: 0.00,4.66,3.83,4.01,3.52,3.5,3.78,3.92,2.03,,
→2) β-d-Galvi (1→,101.11,77.44,74.51,70.03,75.68,61.76,,,,
Expected Calc. Error: 0.00,4.64,3.62,3.84,3.92,3.68,3.82,3.9,,,
α-l-Fucvii (1→,100.28,69.09,70.48,72.76,67.29,16.12,,,,
Expected Calc. Error: 0.00,5.21,3.8,3.71,3.78,4.3,1.2,,,,
