0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcNAcOMei,102.66,55.92,73.37,79.87,75.66,61.22,,23.04,175.33,57.8
Expected Calc. Error: 0.00,4.49,3.72,3.73,3.69,3.6,3.84,4.0,2.04,,3.51
→3) β-d-Galii (1→,103.8,70.92,82.78,69.09,75.78,61.74,,,,
Expected Calc. Error: 0.00,4.48,3.63,3.73,4.14,3.72,3.77,3.79,,,
→4) β-d-GlcNAciii (1→,103.14,56.28,73.09,79.66,75.47,61.24,,23.25,175.47,
Expected Calc. Error: 0.17,4.77,3.78,3.76,3.71,3.62,3.85,3.98,2.04,,
→4) β-d-Galiv (1→,103.85,72.14,73.22,78.99,76.56,61.11,,,,
Expected Calc. Error: 2.02,4.51,3.61,3.75,4.04,3.8,3.88,3.9,,,
α-d-GlcNAcv (1→,99.84,55.22,71.63,71.06,73.19,61.36,,22.87,175.13,
Expected Calc. Error: 1.85,4.94,3.91,3.77,3.52,4.08,3.8,3.8,2.06,,
