0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
"→3,4) β-d-GlcNAcOMei",102.48,56.46,75.84,74.58,76.37,60.89,,23.1,175.11,57.82
Expected Calc. Error: 0.00,4.51,3.88,3.91,3.92,3.62,3.87,4.02,2.03,,3.51
→3) β-d-Galii (1→,102.71,71.03,82.75,68.83,75.32,62.11,,,,
Expected Calc. Error: 0.00,4.46,3.57,3.72,4.12,3.6,3.74,3.74,,,
"→3,4) β-d-GlcNAciii (1→",102.96,56.82,75.56,74.37,76.18,60.91,,23.31,175.25,
Expected Calc. Error: 1.00,4.79,3.94,3.94,3.94,3.64,3.88,4.0,2.03,,
→3) β-d-Galiv (1→,102.71,71.03,82.75,68.83,75.32,62.11,,,,
Expected Calc. Error: 0.50,4.46,3.57,3.72,4.12,3.6,3.74,3.74,,,
"→3,4) β-d-GlcNAcv (1→",103.06,56.85,75.4,71.82,76.7,60.82,,23.31,175.25,
Expected Calc. Error: 1.25,4.77,3.95,3.88,3.99,3.52,3.87,3.97,2.03,,
→2) β-d-Galvi (1→,100.18,77.43,74.45,69.74,75.59,62.21,,,,
Expected Calc. Error: 0.75,4.52,3.64,3.86,3.9,3.58,3.71,3.73,,,
α-l-Fucvii (1→,100.22,69.22,70.66,72.6,67.72,16.08,,,,
Expected Calc. Error: 0.25,5.31,3.81,3.79,3.81,4.22,1.23,,,,
α-l-Fucviii (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.83,5.11,3.71,3.9,3.8,4.77,1.19,,,,
α-l-Fucix (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.83,5.11,3.71,3.9,3.8,4.77,1.19,,,,
α-l-Fucx (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.00,5.11,3.71,3.9,3.8,4.77,1.19,,,,
