0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
"→4,6) β-d-GlcNAcOMei",102.79,55.73,73.39,80.58,74.74,67.62,,23.02,175.34,58.05
Expected Calc. Error: 0.24,4.44,3.72,3.71,3.65,3.63,3.68,3.93,2.03,,3.51
α-l-Fucii (1→,100.07,69.2,70.59,72.75,67.52,16.06,,,,
Expected Calc. Error: 0.24,4.93,3.8,3.87,3.81,4.09,1.23,,,,
→4) β-d-GlcNAciii (1→,102.51,56.25,73.13,79.94,75.8,61.26,,23.46,175.43,
Expected Calc. Error: 0.67,4.64,3.84,3.8,3.8,3.67,3.79,3.92,2.13,,
"→3,6) β-d-Maniv (1→",101.27,71.14,81.91,66.77,76.04,67.06,,,,
Expected Calc. Error: 8.08,4.76,4.24,3.78,3.79,3.63,3.77,4.03,,,
→2) α-d-Manv (1→,97.88,77.75,70.55,68.3,73.8,62.37,,,,
Expected Calc. Error: 5.00,4.92,4.08,3.85,3.55,3.65,3.71,3.9,,,
"→3,4) β-d-GlcNAcvi (1→",100.53,56.47,76.74,73.41,76.46,60.94,,23.28,175.5,
Expected Calc. Error: 5.85,4.64,3.91,4.12,3.76,3.56,3.88,3.98,2.04,,
α-l-Fucvii (1→,98.81,68.83,70.14,72.85,67.59,16.22,,,,
Expected Calc. Error: 0.85,5.03,3.82,3.89,3.8,4.78,1.21,,,,
β-d-Galviii (1→,103.46,71.56,73.46,69.25,75.66,61.78,,,,
Expected Calc. Error: 0.00,4.52,3.5,3.62,3.92,3.58,3.78,3.78,,,
→2) α-d-Manix (1→,100.21,77.76,70.3,68.23,74.21,62.42,,,,
Expected Calc. Error: 2.42,5.13,4.15,3.89,3.56,3.69,3.7,3.88,,,
"→3,4) β-d-GlcNAcx (1→",100.42,56.35,76.66,73.38,76.46,60.93,,23.27,175.52,
Expected Calc. Error: 2.21,4.59,3.91,4.11,3.76,3.55,3.88,3.98,2.04,,
α-l-Fucxi (1→,98.81,68.83,70.14,72.85,67.59,16.22,,,,
Expected Calc. Error: 0.85,5.03,3.82,3.89,3.8,4.78,1.21,,,,
β-d-Galxii (1→,103.46,71.56,73.46,69.25,75.66,61.78,,,,
Expected Calc. Error: 0.00,4.52,3.5,3.62,3.92,3.58,3.78,3.78,,,
