Residual,Connection,Atom,Shift,Residual Num
A-D-GLCPNAC, ,H1,5.16,1
A-D-GLCPNAC, ,H2,4.12,1
A-D-GLCPNAC, ,H3,3.9,1
A-D-GLCPNAC, ,H4,3.62,1
A-D-GLCPNAC, ,H5,4.08,1
A-D-GLCPNAC, ,H6,3.85,1
A-L-FUCPNAC,3,H1,5.04,2
A-L-FUCPNAC,3,H2,4.44,2
A-L-FUCPNAC,3,H3,4.03,2
A-L-FUCPNAC,3,H4,4.12,2
A-L-FUCPNAC,3,H5,4.46,2
A-L-FUCPNAC,3,H6,1.32,2
A-D-GALP," 3, 3",H1,5.05,3
A-D-GALP," 3, 3",H2,3.71,3
A-D-GALP," 3, 3",H3,3.78,3
A-D-GALP," 3, 3",H4,3.91,3
A-D-GALP," 3, 3",H5,4.1,3
A-D-GALP," 3, 3",H6,3.69,3
B-D-GLCPA," 3, 4",H1,4.65,4
B-D-GLCPA," 3, 4",H2,3.58,4
B-D-GLCPA," 3, 4",H3,3.63,4
B-D-GLCPA," 3, 4",H4,3.83,4
B-D-GLCPA," 3, 4",H5,3.83,4
A-D-GLCPNAC, ,C1,100.0,1
A-D-GLCPNAC, ,C2,55.5,1
A-D-GLCPNAC, ,C3,78.3,1
A-D-GLCPNAC, ,C4,70.3,1
A-D-GLCPNAC, ,C5,73.2,1
A-D-GLCPNAC, ,C6,62.4,1
A-D-GLCPNAC, ,NAc,176.2,1
A-D-GLCPNAC, ,NAc(CO),176.3,1
A-L-FUCPNAC,3,C1,99.6,2
A-L-FUCPNAC,3,C2,50.6,2
A-L-FUCPNAC,3,C3,75.3,2
A-L-FUCPNAC,3,C4,81.1,2
A-L-FUCPNAC,3,C5,69.7,2
A-L-FUCPNAC,3,C6,16.7,2
A-L-FUCPNAC,3,NAc,176.2,2
A-L-FUCPNAC,3,NAc(CO),176.3,2
A-D-GALP," 3, 3",C1,102.5,3
A-D-GALP," 3, 3",C2,70.4,3
A-D-GALP," 3, 3",C3,71.4,3
A-D-GALP," 3, 3",C4,71.5,3
A-D-GALP," 3, 3",C5,73.2,3
A-D-GALP," 3, 3",C6,63.4,3
B-D-GLCPA," 3, 4",C1,105.3,4
B-D-GLCPA," 3, 4",C2,74.2,4
B-D-GLCPA," 3, 4",C3,84.2,4
B-D-GLCPA," 3, 4",C4,73.6,4
B-D-GLCPA," 3, 4",C5,77.9,4
B-D-GLCPA," 3, 4",C6,173.7,4
