Residual,Connection,Atom,Shift,Residual Num
B-D-FRUF, ,H11,3.79,999
B-D-FRUF, ,H12,3.7,999
B-D-FRUF, ,H3,4.2,999
B-D-FRUF, ,H4,4.08,999
B-D-FRUF, ,H61,3.84,999
B-D-FRUF, ,H62,3.81,999
B-D-FRUF,2,H11,3.98,999
B-D-FRUF,2,H12,3.73,999
B-D-FRUF,2,H3,4.34,999
B-D-FRUF,2,H4,4.04,999
B-D-FRUF,2,H6,3.08,999
A-D-GLCP," 2, 2",H1,5.67,1
A-D-GLCP," 2, 2",H2,3.61,1
A-D-GLCP," 2, 2",H3,3.9,1
A-D-GLCP," 2, 2",H4,3.49,1
A-D-GLCP," 2, 2",H5,3.9,1
A-D-GLCP," 2, 2",H6,3.81,1
A-D-GLCP," 2, 2, 2",H1,5.31,2
A-D-GLCP," 2, 2, 2",H2,3.69,2
A-D-GLCP," 2, 2, 2",H3,3.83,2
A-D-GLCP," 2, 2, 2",H4,3.47,2
A-D-GLCP," 2, 2, 2",H5,3.83,2
A-D-GLCP," 2, 2, 2",H6,3.88,2
A-D-GLCP," 2, 2, 2, 2",H1,5.08,3
A-D-GLCP," 2, 2, 2, 2",H2,3.59,3
A-D-GLCP," 2, 2, 2, 2",H3,3.91,3
A-D-GLCP," 2, 2, 2, 2",H4,3.45,3
A-D-GLCP," 2, 2, 2, 2",H5,3.96,3
A-D-GLCP," 2, 2, 2, 2",H61,3.84,3
A-D-GLCP," 2, 2, 2, 2",H62,3.78,3
B-D-FRUF, ,C1,61.5,999
B-D-FRUF, ,C2,104.71,999
B-D-FRUF, ,C3,77.33,999
B-D-FRUF, ,C4,75.14,999
B-D-FRUF, ,C5,81.93,999
B-D-FRUF, ,C6,63.14,999
B-D-FRUF,2,C1,61.79,999
B-D-FRUF,2,C2,104.53,999
B-D-FRUF,2,C3,76.74,999
B-D-FRUF,2,C4,74.48,999
B-D-FRUF,2,C5,82.1,999
B-D-FRUF,2,C6,62.98,999
A-D-GLCP," 2, 2",C1,91.82,1
A-D-GLCP," 2, 2",C2,80.91,1
A-D-GLCP," 2, 2",C3,72.74,1
A-D-GLCP," 2, 2",C4,69.78,1
A-D-GLCP," 2, 2",C5,72.95,1
A-D-GLCP," 2, 2",C6,60.97,1
A-D-GLCP," 2, 2, 2",C1,96.96,2
A-D-GLCP," 2, 2, 2",C2,76.81,2
A-D-GLCP," 2, 2, 2",C3,72.38,2
A-D-GLCP," 2, 2, 2",C4,70.52,2
A-D-GLCP," 2, 2, 2",C5,73.33,2
A-D-GLCP," 2, 2, 2",C6,61.29,2
A-D-GLCP," 2, 2, 2, 2",C1,97.56,3
A-D-GLCP," 2, 2, 2, 2",C2,72.03,3
A-D-GLCP," 2, 2, 2, 2",C3,73.38,3
A-D-GLCP," 2, 2, 2, 2",C4,70.27,3
A-D-GLCP," 2, 2, 2, 2",C5,72.63,3
A-D-GLCP," 2, 2, 2, 2",C6,61.2,3
