Residual,Connection,Atom,Shift,Residual Num
B-D-GLCP1OME, ,H1,4.4,1
B-D-GLCP1OME, ,H2,3.47,1
B-D-GLCP1OME, ,H3,3.61,1
B-D-GLCP1OME, ,H4,3.45,1
B-D-GLCP1OME, ,H5,3.56,1
B-D-GLCP1OME, ,H6a,3.73,1
B-D-GLCP1OME, ,H6b,3.94,1
A-L-FUCP,3,H1,5.27,2
A-L-FUCP,3,H2,3.79,2
A-L-FUCP,3,H3,3.9,2
A-L-FUCP,3,H4,3.81,2
A-L-FUCP,3,H5,4.36,2
A-L-FUCP,3,H6,1.18,2
B-D-GLCP1OME, ,C1,104.2,1
B-D-GLCP1OME, ,C2,74.7,1
B-D-GLCP1OME, ,C3,84.1,1
B-D-GLCP1OME, ,C4,69.6,1
B-D-GLCP1OME, ,C5,77.1,1
B-D-GLCP1OME, ,C6,62.1,1
B-D-GLCP1OME, ,OMe,58.3,1
A-L-FUCP,3,C1,100.6,2
A-L-FUCP,3,C2,69.6,2
A-L-FUCP,3,C3,70.8,2
A-L-FUCP,3,C4,73.1,2
A-L-FUCP,3,C5,68.1,2
A-L-FUCP,3,C6,16.4,2
