Residual,Connection,Atom,Shift,Residual Num
B-D-GLCP, ,H1,4.5,1
B-D-GLCP, ,H2,3.35,1
B-D-GLCP, ,H3,3.52,1
B-D-GLCP, ,H4,3.42,1
B-D-GLCP, ,H5,3.46,1
B-D-GLCP, ,H61,3.73,1
B-D-GLCP, ,H62,3.93,1
A-D-GLCP,1,H1,4.92,2
A-D-GLCP,1,H2,3.51,2
A-D-GLCP,1,H3,3.74,2
A-D-GLCP,1,H4,3.65,2
A-D-GLCP,1,H5,4.31,2
A-D-GLCP,1,H61,4.05,2
A-D-GLCP,1,H62,4.33,2
B-D-GALP," 1, 1",H1,4.49,3
B-D-GALP," 1, 1",H2,3.68,3
B-D-GALP," 1, 1",H3,3.83,3
B-D-GALP," 1, 1",H4,4.24,3
B-D-GALP," 1, 1",H5,3.77,3
B-D-GALP," 1, 1",H61,3.82,3
B-D-GALP," 1, 1",H62,3.87,3
B-D-GALPNAC," 1, 1, 3",H1,4.71,4
B-D-GALPNAC," 1, 1, 3",H2,3.96,4
B-D-GALPNAC," 1, 1, 3",H3,3.81,4
B-D-GALPNAC," 1, 1, 3",H4,4.05,4
B-D-GALPNAC," 1, 1, 3",H5,3.67,4
B-D-GALPNAC," 1, 1, 3",H61,3.78,4
B-D-GALPNAC," 1, 1, 3",H62,3.86,4
B-D-GALF," 1, 1, 3, 3",H1,5.09,5
B-D-GALF," 1, 1, 3, 3",H2,4.1,5
B-D-GALF," 1, 1, 3, 3",H3,4.05,5
B-D-GALF," 1, 1, 3, 3",H4,4.05,5
B-D-GALF," 1, 1, 3, 3",H5,4.01,5
B-D-GALF," 1, 1, 3, 3",H61,3.74,5
B-D-GALF," 1, 1, 3, 3",H62,4.07,5
B-D-GLCP, ,C1,103.5,1
B-D-GLCP, ,C2,74.1,1
B-D-GLCP, ,C3,76.6,1
B-D-GLCP, ,C4,70.6,1
B-D-GLCP, ,C5,76.8,1
B-D-GLCP, ,C6,61.8,1
A-D-GLCP,1,C1,100.0,2
A-D-GLCP,1,C2,72.9,2
A-D-GLCP,1,C3,73.6,2
A-D-GLCP,1,C4,69.7,2
A-D-GLCP,1,C5,71.5,2
A-D-GLCP,1,C6,68.8,2
B-D-GALP," 1, 1",C1,104.4,3
B-D-GALP," 1, 1",C2,71.8,3
B-D-GALP," 1, 1",C3,81.6,3
B-D-GALP," 1, 1",C4,76.4,3
B-D-GALP," 1, 1",C5,76.2,3
B-D-GALP," 1, 1",C6,60.7,3
B-D-GALPNAC," 1, 1, 3",C1,104.2,4
B-D-GALPNAC," 1, 1, 3",C2,52.2,4
B-D-GALPNAC," 1, 1, 3",C3,79.3,4
B-D-GALPNAC," 1, 1, 3",C4,70.6,4
B-D-GALPNAC," 1, 1, 3",C5,75.8,4
B-D-GALPNAC," 1, 1, 3",C6,62.0,4
B-D-GALF," 1, 1, 3, 3",C1,110.0,5
B-D-GALF," 1, 1, 3, 3",C2,82.2,5
B-D-GALF," 1, 1, 3, 3",C3,78.0,5
B-D-GALF," 1, 1, 3, 3",C4,84.2,5
B-D-GALF," 1, 1, 3, 3",C5,70.5,5
B-D-GALF," 1, 1, 3, 3",C6,72.2,5
