Residual,Connection,Atom,Shift,Residual Num
B-D-MANP, ,H1,5.05,1
B-D-MANP, ,H2,4.155,1
B-D-MANP, ,H3,3.63,1
B-D-MANP, ,H4,3.59,1
B-D-MANP, ,H5,3.41,1
B-D-MANP, ,H6,3.93,1
B-D-MANP,2,H1,5.046,2
B-D-MANP,2,H2,4.384,2
B-D-MANP,2,H3,3.7,2
B-D-MANP,2,H4,3.47,2
B-D-MANP,2,H5,3.41,2
B-D-MANP,2,H6,3.93,2
B-D-MANP," 2, 2",H1,4.934,3
B-D-MANP," 2, 2",H2,4.416,3
B-D-MANP," 2, 2",H3,3.7,3
B-D-MANP," 2, 2",H4,3.47,3
B-D-MANP," 2, 2",H5,3.41,3
B-D-MANP," 2, 2",H6,3.93,3
B-D-MANP," 2, 2, 2",H1,4.908,4
B-D-MANP," 2, 2, 2",H2,4.29,4
B-D-MANP," 2, 2, 2",H3,3.73,4
B-D-MANP," 2, 2, 2",H4,3.59,4
B-D-MANP," 2, 2, 2",H5,3.41,4
B-D-MANP," 2, 2, 2",H6,3.93,4
B-D-MANP, ,C1,102.3,1
B-D-MANP, ,C2,71.6,1
B-D-MANP, ,C3,74.2,1
B-D-MANP, ,C4,68.8,1
B-D-MANP, ,C5,77.4,1
B-D-MANP, ,C6,61.9,1
B-D-MANP,2,C1,102.6,2
B-D-MANP,2,C2,80.6,2
B-D-MANP,2,C3,73.2,2
B-D-MANP,2,C4,68.8,2
B-D-MANP,2,C5,77.4,2
B-D-MANP,2,C6,61.9,2
B-D-MANP," 2, 2",C1,102.8,3
B-D-MANP," 2, 2",C2,80.6,3
B-D-MANP," 2, 2",C3,73.2,3
B-D-MANP," 2, 2",C4,68.8,3
B-D-MANP," 2, 2",C5,77.4,3
B-D-MANP," 2, 2",C6,61.9,3
B-D-MANP," 2, 2, 2",C1,100.4,4
B-D-MANP," 2, 2, 2",C2,80.9,4
B-D-MANP," 2, 2, 2",C3,73.2,4
B-D-MANP," 2, 2, 2",C4,68.8,4
B-D-MANP," 2, 2, 2",C5,77.4,4
B-D-MANP," 2, 2, 2",C6,61.9,4
