Residual,Connection,Atom,Shift,Residual Num
B-D-XYLP, ,H1,4.497,2
B-D-XYLP, ,H2,3.331,2
B-D-XYLP, ,H3,3.447,2
B-D-XYLP, ,H4,3.632,2
B-D-XYLP, ,H51,3.301,2
B-D-XYLP, ,H52,3.97,2
A-L-GALP,1,H1,5.443,1
A-L-GALP,1,H2,3.966,1
A-L-GALP,1,H3,3.963,1
A-L-GALP,1,H4,4.206,1
A-L-GALP,1,H5,4.193,1
A-L-GALP,1,H6,3.818,1
B-D-XYLP," 1, 4",H1,4.374,3
B-D-XYLP," 1, 4",H2,3.384,3
B-D-XYLP," 1, 4",H3,3.562,3
B-D-XYLP," 1, 4",H4,3.811,3
B-D-XYLP," 1, 4",H51,3.355,3
B-D-XYLP," 1, 4",H52,4.107,3
B-D-XYLP," 1, 4, 4",H1,4.461,4
B-D-XYLP," 1, 4, 4",H2,3.256,4
B-D-XYLP," 1, 4, 4",H3,3.429,4
B-D-XYLP," 1, 4, 4",H4,3.632,4
B-D-XYLP," 1, 4, 4",H51,3.301,4
B-D-XYLP," 1, 4, 4",H52,3.97,4
B-D-XYLP, ,C1,103.08,2
B-D-XYLP, ,C2,74.04,2
B-D-XYLP, ,C3,76.91,2
B-D-XYLP, ,C4,70.44,2
B-D-XYLP, ,C5,66.47,2
A-L-GALP,1,C1,91.56,1
A-L-GALP,1,C2,77.26,1
A-L-GALP,1,C3,67.89,1
A-L-GALP,1,C4,79.61,1
A-L-GALP,1,C5,71.89,1
A-L-GALP,1,C6,61.45,1
B-D-XYLP," 1, 4",C1,104.7,3
B-D-XYLP," 1, 4",C2,74.5,3
B-D-XYLP," 1, 4",C3,74.97,3
B-D-XYLP," 1, 4",C4,77.64,3
B-D-XYLP," 1, 4",C5,64.29,3
B-D-XYLP," 1, 4, 4",C1,103.08,4
B-D-XYLP," 1, 4, 4",C2,74.04,4
B-D-XYLP," 1, 4, 4",C3,76.92,4
B-D-XYLP," 1, 4, 4",C4,70.44,4
B-D-XYLP," 1, 4, 4",C5,66.47,4
