Residual,Connection,Atom,Shift,Residual Num
b-D-Glcp," 4,until",H1,4.46,1
b-D-Glcp," 4,until",H2,3.34,1
b-D-Glcp," 4,until",H3,3.63,1
b-D-Glcp," 4,until",H4,3.63,1
b-D-Glcp," 4,until",H5,3.51,1
b-D-Glcp," 4,until",H61,3.83,1
b-D-Glcp," 4,until",H62,3.68,1
b-D-ManpNAc," 4,4,until",H1,4.86,2
b-D-ManpNAc," 4,4,until",H2,4.6,2
b-D-ManpNAc," 4,4,until",H3,3.93,2
b-D-ManpNAc," 4,4,until",H4,3.74,2
b-D-ManpNAc," 4,4,until",H5,3.46,2
b-D-ManpNAc," 4,4,until",H61,3.9,2
b-D-ManpNAc," 4,4,until",H62,3.79,2
a-D-Galp," 3,4,4,until",H1,5.29,3
a-D-Galp," 3,4,4,until",H2,3.94,3
a-D-Galp," 3,4,4,until",H3,3.82,3
a-D-Galp," 3,4,4,until",H4,4.17,3
a-D-Galp," 3,4,4,until",H5,4.12,3
a-D-Galp," 3,4,4,until",H61,3.75,3
a-D-Galp," 3,4,4,until",H62,3.75,3
a-D-GlcpA," 3,3,4,4,until",H1,5.08,4
a-D-GlcpA," 3,3,4,4,until",H2,3.65,4
a-D-GlcpA," 3,3,4,4,until",H3,4.02,4
a-D-GlcpA," 3,3,4,4,until",H4,3.77,4
a-D-GlcpA," 3,3,4,4,until",H5,4.24,4
a-D-Glcp," 4,3,3,4,4,until",H1,5.41,5
a-D-Glcp," 4,3,3,4,4,until",H2,3.53,5
a-D-Glcp," 4,3,3,4,4,until",H3,3.78,5
a-D-Glcp," 4,3,3,4,4,until",H4,3.58,5
a-D-Glcp," 4,3,3,4,4,until",H5,3.85,5
b-D-Glcp," 4,until",C1,103.2,1
b-D-Glcp," 4,until",C2,73.8,1
b-D-Glcp," 4,until",C3,74.7,1
b-D-Glcp," 4,until",C4,79.5,1
b-D-Glcp," 4,until",C5,75.4,1
b-D-ManpNAc," 4,4,until",C1,100.1,2
b-D-ManpNAc," 4,4,until",C2,53.4,2
b-D-ManpNAc," 4,4,until",C3,78.0,2
b-D-ManpNAc," 4,4,until",C4,67.6,2
b-D-ManpNAc," 4,4,until",C5,77.1,2
a-D-Galp," 3,4,4,until",C1,101.0,3
a-D-Galp," 3,4,4,until",C2,67.6,3
a-D-Galp," 3,4,4,until",C3,74.7,3
a-D-Galp," 3,4,4,until",C4,66.4,3
a-D-Galp," 3,4,4,until",C5,71.9,3
a-D-GlcpA," 3,3,4,4,until",C1,95.5,4
a-D-GlcpA," 3,3,4,4,until",C2,71.9,4
a-D-GlcpA," 3,3,4,4,until",C3,74.0,4
a-D-GlcpA," 3,3,4,4,until",C4,78.4,4
a-D-GlcpA," 3,3,4,4,until",C5,73.4,4
a-D-Glcp," 4,3,3,4,4,until",C1,98.8,5
a-D-Glcp," 4,3,3,4,4,until",C2,72.3,5
a-D-Glcp," 4,3,3,4,4,until",C3,72.3,5
a-D-Glcp," 4,3,3,4,4,until",C4,79.2,5
a-D-Glcp," 4,3,3,4,4,until",C5,71.3,5
