Residual,Connection,Atom,Shift
D-GAL-OL, ,H1,3.75
D-GAL-OL, ,H2,4.05
D-GAL-OL, ,H3,3.79
D-GAL-OL, ,H4,3.87
D-GAL-OL, ,H5,4.04
D-GAL-OL, ,H61,3.65
D-GAL-OL, ,H62,3.64
A-D-GALP,3,H1,5.1
A-D-GALP,3,H2,3.82
A-D-GALP,3,H3,3.86
A-D-GALP,3,H4,4.02
A-D-GALP,3,H5,4.18
A-D-GALP,3,H61,3.87
A-D-GALP,3,H62,3.68
A-D-GALP," 3, 6",H1,4.99
A-D-GALP," 3, 6",H2,3.92
A-D-GALP," 3, 6",H3,3.99
A-D-GALP," 3, 6",H4,4.21
A-D-GALP," 3, 6",H5,3.87
A-D-GALP," 3, 6",H61,4.12
A-D-GALP," 3, 6",H62,3.99
A-D-GALPNAC," 3, 6, 6",H1,4.85
A-D-GALPNAC," 3, 6, 6",H2,4.32
A-D-GALPNAC," 3, 6, 6",H3,4.11
A-D-GALPNAC," 3, 6, 6",H4,3.34
A-D-GALPNAC," 3, 6, 6",H5,3.9
A-D-GALPNAC," 3, 6, 6",H61,3.64
A-D-GALPNAC," 3, 6, 6",H62,3.61
D-GAL-OL, ,C1,64.2
D-GAL-OL, ,C2,73
D-GAL-OL, ,C3,79.8
D-GAL-OL, ,C4,71
D-GAL-OL, ,C5,71.3
D-GAL-OL, ,C6,64.2
A-D-GALP,3,C1,101.2
A-D-GALP,3,C2,69.5
A-D-GALP,3,C3,70.2
A-D-GALP,3,C4,70.5
A-D-GALP,3,C5,71.1
A-D-GALP,3,C6,68.6
A-D-GALP," 3, 6",C1,100.3
A-D-GALP," 3, 6",C2,69.2
A-D-GALP," 3, 6",C3,69.2
A-D-GALP," 3, 6",C4,77
A-D-GALP," 3, 6",C5,64.5
A-D-GALP," 3, 6",C6,69.8
A-D-GALPNAC," 3, 6, 6",C1,101.4
A-D-GALPNAC," 3, 6, 6",C2,52.9
A-D-GALPNAC," 3, 6, 6",C3,68.8
A-D-GALPNAC," 3, 6, 6",C5,71.1
A-D-GALPNAC," 3, 6, 6",C6,64.4
