Residual,Connection,Atom,Shift
B-D-FRUF, ,H11,3.65
B-D-FRUF, ,H12,3.74
B-D-FRUF, ,H3,4.2
B-D-FRUF, ,H4,4.06
B-D-FRUF, ,H5,3.83
B-D-FRUF, ,H61,3.84
B-D-FRUF, ,H62,3.82
B-D-FRUF,2,H11,3.89
B-D-FRUF,2,H12,3.72
B-D-FRUF,2,H3,4.32
B-D-FRUF,2,H4,4.02
B-D-FRUF,2,H5,3.83
B-D-FRUF,2,H6,3.8
A-D-GLCP," 2, 2",H1,5.61
A-D-GLCP," 2, 2",H2,3.83
A-D-GLCP," 2, 2",H3,3.87
A-D-GLCP," 2, 2",H4,3.54
A-D-GLCP," 2, 2",H5,3.9
A-D-GLCP," 2, 2",H61,3.81
A-D-GLCP," 2, 2",H62,3.79
A-D-GLCP," 2, 2, 2",H1,5.36
A-D-GLCP," 2, 2, 2",H2,3.64
A-D-GLCP," 2, 2, 2",H3,3.82
A-D-GLCP," 2, 2, 2",H4,3.44
A-D-GLCP," 2, 2, 2",H5,3.8
A-D-GLCP," 2, 2, 2",H61,3.85
A-D-GLCP," 2, 2, 2",H62,3.74
A-D-GLCP," 2, 2, 2, 2",H1,5.27
A-D-GLCP," 2, 2, 2, 2",H2,3.59
A-D-GLCP," 2, 2, 2, 2",H3,4.03
A-D-GLCP," 2, 2, 2, 2",H4,3.49
A-D-GLCP," 2, 2, 2, 2",H5,3.98
A-D-GLCP," 2, 2, 2, 2",H6,3.79
A-D-GLCP," 2, 2, 2, 2, 2",H1,5.09
A-D-GLCP," 2, 2, 2, 2, 2",H2,3.57
A-D-GLCP," 2, 2, 2, 2, 2",H3,3.78
A-D-GLCP," 2, 2, 2, 2, 2",H4,3.45
A-D-GLCP," 2, 2, 2, 2, 2",H5,3.92
A-D-GLCP," 2, 2, 2, 2, 2",H6,3.8
B-D-FRUF, ,C1,61.49
B-D-FRUF, ,C2,104.76
B-D-FRUF, ,C3,77.09
B-D-FRUF, ,C4,75.19
B-D-FRUF, ,C5,81.79
B-D-FRUF, ,C6,63.04
B-D-FRUF,2,C1,61.83
B-D-FRUF,2,C2,104.32
B-D-FRUF,2,C3,76.59
B-D-FRUF,2,C4,74.29
B-D-FRUF,2,C5,82.13
B-D-FRUF,2,C6,63.1
A-D-GLCP," 2, 2",C1,92.04
A-D-GLCP," 2, 2",C2,79.51
A-D-GLCP," 2, 2",C3,72.79
A-D-GLCP," 2, 2",C4,69.48
A-D-GLCP," 2, 2",C5,72.96
A-D-GLCP," 2, 2",C6,60.78
A-D-GLCP," 2, 2, 2",C1,97.17
A-D-GLCP," 2, 2, 2",C2,78.67
A-D-GLCP," 2, 2, 2",C3,72.68
A-D-GLCP," 2, 2, 2",C4,70.55
A-D-GLCP," 2, 2, 2",C5,73.36
A-D-GLCP," 2, 2, 2",C6,61.24
A-D-GLCP," 2, 2, 2, 2",C1,96.78
A-D-GLCP," 2, 2, 2, 2",C2,77.66
A-D-GLCP," 2, 2, 2, 2",C3,71.82
A-D-GLCP," 2, 2, 2, 2",C4,70.36
A-D-GLCP," 2, 2, 2, 2",C5,72.59
A-D-GLCP," 2, 2, 2, 2",C6,61.05
A-D-GLCP," 2, 2, 2, 2, 2",C1,98.28
A-D-GLCP," 2, 2, 2, 2, 2",C2,72.08
A-D-GLCP," 2, 2, 2, 2, 2",C3,73.53
A-D-GLCP," 2, 2, 2, 2, 2",C4,70.13
A-D-GLCP," 2, 2, 2, 2, 2",C5,72.62
A-D-GLCP," 2, 2, 2, 2, 2",C6,61
