Residual,Connection,Atom,Shift
B-D-GLCPNAC, ,H1,4.94
B-D-GLCPNAC, ,H2,3.84
B-D-GLCPNAC, ,H3,3.76
B-D-GLCPNAC, ,H4,3.44
B-D-GLCPNAC, ,H5,3.39
B-D-GLCPNAC, ,H61,3.67
B-D-GLCPNAC, ,H62,3.85
B-D-GLCP,3,H1,4.45
B-D-GLCP,3,H2,3.31
B-D-GLCP,3,H3,3.62
B-D-GLCP,3,H4,3.73
B-D-GLCP,3,H5,3.79
B-D-GLCP,3,H61,3.75
B-D-GLCP,3,H62,3.82
A-D-GLCPNAC," 3, 4",H1,5.27
A-D-GLCPNAC," 3, 4",H2,4.12
A-D-GLCPNAC," 3, 4",H3,4.19
A-D-GLCPNAC," 3, 4",H4,4.12
A-D-GLCPNAC," 3, 4",H5,3.94
A-D-GLCPNAC," 3, 4",H61,3.8
A-D-GLCPNAC," 3, 4",H62,3.94
B-D-GALP," 3, 4, 4",H1,4.7
B-D-GALP," 3, 4, 4",H2,3.7
B-D-GALP," 3, 4, 4",H3,3.72
B-D-GALP," 3, 4, 4",H4,3.94
B-D-GALP," 3, 4, 4",H5,3.68
B-D-GALP," 3, 4, 4",H61,3.79
B-D-GALP," 3, 4, 4",H62,3.81
A-D-GLCP," 3, 4, 4, 2",H1,5.33
A-D-GLCP," 3, 4, 4, 2",H2,3.58
A-D-GLCP," 3, 4, 4, 2",H3,3.12
A-D-GLCP," 3, 4, 4, 2",H4,3.43
A-D-GLCP," 3, 4, 4, 2",H5,4.02
A-D-GLCP," 3, 4, 4, 2",H6 a,3.82
A-D-GLCP," 3, 4, 4, 2",H6 b,3.89
B-D-GLCPNAC, ,C1,98
B-D-GLCPNAC, ,C2,55.8
B-D-GLCPNAC, ,C3,82.7
B-D-GLCPNAC, ,C4,68.6
B-D-GLCPNAC, ,C5,76.5
B-D-GLCPNAC, ,C6,61.8
B-D-GLCP,3,C1,103.9
B-D-GLCP,3,C2,74.4
B-D-GLCP,3,C3,77.5
B-D-GLCP,3,C4,77.5
B-D-GLCP,3,C5,77.4
B-D-GLCP,3,C6,62.1
A-D-GLCPNAC," 3, 4",C1,98
A-D-GLCPNAC," 3, 4",C2,54.1
A-D-GLCPNAC," 3, 4",C3,70.2
A-D-GLCPNAC," 3, 4",C4,75.3
A-D-GLCPNAC," 3, 4",C5,72.6
A-D-GLCPNAC," 3, 4",C6,61.1
A-D-GLCPNAC," 3, 4",C24,103.4
A-D-GLCPNAC," 3, 4",C25,76.5
B-D-GALP," 3, 4, 4",C1,103.4
B-D-GALP," 3, 4, 4",C2,76.5
B-D-GALP," 3, 4, 4",C3,72.8
B-D-GALP," 3, 4, 4",C4,69.9
B-D-GALP," 3, 4, 4",C5,76.5
B-D-GALP," 3, 4, 4",C6,61.8
A-D-GLCP," 3, 4, 4, 2",C1,100.1
A-D-GLCP," 3, 4, 4, 2",C2,72.1
A-D-GLCP," 3, 4, 4, 2",C3,73.6
A-D-GLCP," 3, 4, 4, 2",C4,70.2
A-D-GLCP," 3, 4, 4, 2",C5,72.6
A-D-GLCP," 3, 4, 4, 2",C6,61.1
