Residual,Connection,Atom,Shift
A-L-GALP, ,H1,5.27
A-L-GALP, ,H2,3.98
A-L-GALP, ,H3,3.88
A-L-GALP, ,H4,4.09
A-L-GALP, ,H5,3.65
A-L-GALP, ,H61,3.64
A-L-GALP, ,H62,3.72
A-D-GLCP,3,H1,5.24
A-D-GLCP,3,H2,3.63
A-D-GLCP,3,H3,3.79
A-D-GLCP,3,H4,3.47
A-D-GLCP,3,H5,4.06
A-L-GALP, ,C1,93.17
A-L-GALP, ,C2,68.59
A-L-GALP, ,C3,78.63
A-L-GALP, ,C4,70.09
A-L-GALP, ,C5,71.48
A-L-GALP, ,C6,62.01
A-D-GLCP,3,C1,101.29
A-D-GLCP,3,C2,72.23
A-D-GLCP,3,C3,73.65
A-D-GLCP,3,C4,72.81
A-D-GLCP,3,C5,73.4
A-D-GLCP,3,C6,177.11
