Residual,Connection,Atom,Shift
A-D-GLCPN1PO4, ,H1,5.396
A-D-GLCPN1PO4, ,H2,2.703
A-D-GLCPN1PO4, ,H31,3.618
A-D-GLCPN1PO4, ,H4,3.464
A-D-GLCPN1PO4, ,H5,4.074
A-D-GLCPN1PO4, ,H61,3.757
A-D-GLCPN1PO4, ,H62,4.243
B-D-GLCPN4PO4,6,H1,4.425
B-D-GLCPN4PO4,6,H2,2.67
B-D-GLCPN4PO4,6,H31,3.582
B-D-GLCPN4PO4,6,H4,3.646
B-D-GLCPN4PO4,6,H5,3.651
B-D-GLCPN4PO4,6,H61,3.446
B-D-GLCPN4PO4,6,H62,3.755
A-D-KDOP," 6, 6",H31,1.892
A-D-KDOP," 6, 6",H32,2.056
A-D-KDOP," 6, 6",H4,4.047
A-D-KDOP," 6, 6",H5,4.105
A-D-KDOP," 6, 6",H61,3.731
A-D-KDOP," 6, 6",H7,3.904
A-D-KDOP," 6, 6",H81,3.702
A-D-KDOP," 6, 6",H82,3.887
A-D-KDOP," 6, 6, 4",H31,1.822
A-D-KDOP," 6, 6, 4",H32,2.132
A-D-KDOP," 6, 6, 4",H4,4.089
A-D-KDOP," 6, 6, 4",H5,4.104
A-D-KDOP," 6, 6, 4",H61,3.848
A-D-KDOP," 6, 6, 4",H7,4.178
A-D-KDOP," 6, 6, 4",H81,3.535
A-D-KDOP," 6, 6, 4",H82,3.608
A-D-KDOP," 6, 6, 4, 8",H31,1.779
A-D-KDOP," 6, 6, 4, 8",H32,2.032
A-D-KDOP," 6, 6, 4, 8",H4,4.105
A-D-KDOP," 6, 6, 4, 8",H5,4.098
A-D-KDOP," 6, 6, 4, 8",H61,3.675
A-D-KDOP," 6, 6, 4, 8",H7,3.934
A-D-KDOP," 6, 6, 4, 8",H81,3.735
A-D-KDOP," 6, 6, 4, 8",H82,3.942
A-D-GLCPN1PO4, ,C1,94.91
A-D-GLCPN1PO4, ,C2,55.84
A-D-GLCPN1PO4, ,C3,73.84
A-D-GLCPN1PO4, ,C4,70.38
A-D-GLCPN1PO4, ,C5,71.77
A-D-GLCPN1PO4, ,C6,69.77
B-D-GLCPN4PO4,6,C1,103.4
B-D-GLCPN4PO4,6,C2,56.67
B-D-GLCPN4PO4,6,C3,76.52
B-D-GLCPN4PO4,6,C4,73.52
B-D-GLCPN4PO4,6,C5,74.83
B-D-GLCPN4PO4,6,C6,63.37
A-D-KDOP," 6, 6",C1,175.23
A-D-KDOP," 6, 6",C2,99.9
A-D-KDOP," 6, 6",C3,34.02
A-D-KDOP," 6, 6",C4,70.53
A-D-KDOP," 6, 6",C5,65.64
A-D-KDOP," 6, 6",C6,71.64
A-D-KDOP," 6, 6",C7,70.41
A-D-KDOP," 6, 6",C8,63.7
A-D-KDOP," 6, 6, 4",C1,175.93
A-D-KDOP," 6, 6, 4",C2,101.1
A-D-KDOP," 6, 6, 4",C3,34.86
A-D-KDOP," 6, 6, 4",C4,66.26
A-D-KDOP," 6, 6, 4",C5,67.43
A-D-KDOP," 6, 6, 4",C6,71.7
A-D-KDOP," 6, 6, 4",C7,71.05
A-D-KDOP," 6, 6, 4",C8,63.22
A-D-KDOP," 6, 6, 4, 8",C1,175.57
A-D-KDOP," 6, 6, 4, 8",C2,100.2
A-D-KDOP," 6, 6, 4, 8",C3,34.48
A-D-KDOP," 6, 6, 4, 8",C4,66.23
A-D-KDOP," 6, 6, 4, 8",C5,66.81
A-D-KDOP," 6, 6, 4, 8",C6,71.84
A-D-KDOP," 6, 6, 4, 8",C7,69.92
A-D-KDOP," 6, 6, 4, 8",C8,63.46
