Residual,Connection,Atom,Shift
A-D-GLCP1OME, ,H1,5.07
A-D-GLCP1OME, ,H2,3.69
A-D-GLCP1OME, ,H3,3.72
A-D-GLCP1OME, ,H4,3.45
A-D-GLCP1OME, ,H5,3.64
A-D-GLCP1OME, ,H61,3.77
A-D-GLCP1OME, ,H62,3.89
A-D-MANP,2,H1,5.02
A-D-MANP,2,H2,3.96
A-D-MANP,2,H3,3.88
A-D-MANP,2,H4,3.7
A-D-GLCP1OME, ,C1,97.5
A-D-GLCP1OME, ,C2,76.1
A-D-GLCP1OME, ,C3,72.8
A-D-GLCP1OME, ,C4,70.8
A-D-GLCP1OME, ,C5,72.7
A-D-GLCP1OME, ,C6,61.9
A-D-GLCP1OME, ,OMe,56
A-D-MANP,2,C1,98.7
A-D-MANP,2,C2,71.4
A-D-MANP,2,C3,71.4
A-D-MANP,2,C4,67.9
A-D-MANP,2,C5,74.1
A-D-MANP,2,C6,62.1
