Residual,Connection,Atom,Shift
A-D-GALP, ,H1,5.36
A-D-GALP, ,H2,3.8
A-D-GALP, ,H3,4.02
A-D-GALP, ,H4,4.04
A-D-GALP, ,H5,4.11
A-D-GALP, ,H61,3.75
A-D-GALP, ,H62,3.75
A-L-FUCP,2,H1,5.09
A-L-FUCP,2,H2,3.8
A-L-FUCP,2,H3,3.91
A-L-FUCP,2,H4,3.84
A-L-FUCP,2,H5,4.2
A-L-FUCP,2,H6,1.23
A-D-GALP, ,C1,92.87
A-D-GALP, ,C2,78.43
A-D-GALP, ,C3,69.19
A-D-GALP, ,C4,70.38
A-D-GALP, ,C5,71.01
A-D-GALP, ,C6,62
A-L-FUCP,2,C1,101.98
A-L-FUCP,2,C2,69.34
A-L-FUCP,2,C3,70.52
A-L-FUCP,2,C4,72.7
A-L-FUCP,2,C5,68.01
A-L-FUCP,2,C6,16.12
