Residual,Connection,Atom,Shift
B-D-GALP, ,H1,4.42
B-D-GALP, ,H2,3.54
B-D-GALP, ,H3,3.62
B-D-GALP, ,H4,3.91
B-D-GALP, ,H5,3.64
B-D-GALP, ,H61,3.76
B-D-GALP, ,H62,3.8
B-D-GALPNAC,1,H1,4.8
B-D-GALPNAC,1,H2,4.8
B-D-GALPNAC,1,H3,3.97
B-D-GALPNAC,1,H4,4.39
B-D-GALPNAC,1,H5,3.69
B-D-GALPNAC,1,H61,3.76
B-D-GALPNAC,1,H62,3.84
B-D-GALP," 1, 4",H1,4.85
B-D-GALP," 1, 4",H2,3.7
B-D-GALP," 1, 4",H3,3.73
B-D-GALP," 1, 4",H4,3.95
B-D-GALP," 1, 4",H5,3.67
B-D-GALP," 1, 4",H61,3.74
B-D-GALP," 1, 4",H62,3.74
A-L-RHAP," 1, 4, 3",H1,5.03
A-L-RHAP," 1, 4, 3",H2,4.02
A-L-RHAP," 1, 4, 3",H3,3.94
A-L-RHAP," 1, 4, 3",H4,3.62
A-L-RHAP," 1, 4, 3",H5,3.83
A-L-RHAP," 1, 4, 3",H6,1.3
B-D-GALP, ,C1,105.4
B-D-GALP, ,C2,71.1
B-D-GALP, ,C3,72.9
B-D-GALP, ,C4,69.1
B-D-GALP, ,C5,75.4
B-D-GALP, ,C6,61.7
B-D-GALPNAC,1,C1,102
B-D-GALPNAC,1,C2,52.6
B-D-GALPNAC,1,C3,80
B-D-GALPNAC,1,C4,75.2
B-D-GALPNAC,1,C5,74.5
B-D-GALPNAC,1,C6,60.8
B-D-GALP," 1, 4",C1,103.4
B-D-GALP," 1, 4",C2,71.1
B-D-GALP," 1, 4",C3,80.6
B-D-GALP," 1, 4",C4,68.9
B-D-GALP," 1, 4",C5,75.2
B-D-GALP," 1, 4",C6,61.4
A-L-RHAP," 1, 4, 3",C1,102.4
A-L-RHAP," 1, 4, 3",C2,70.7
A-L-RHAP," 1, 4, 3",C3,70.7
A-L-RHAP," 1, 4, 3",C4,80.9
A-L-RHAP," 1, 4, 3",C5,67.9
A-L-RHAP," 1, 4, 3",C6,17.5
