Residual,Connection,Atom,Shift
B-D-GLCP, ,H1,4.65
B-D-GLCP, ,H2,3.27
B-D-GLCP, ,H3,3.59
B-D-GLCP, ,H4,3.74
B-D-GLCP, ,H5,3.59
B-D-GLCP, ,H61,3.83
B-D-GLCP, ,H62,3.96
B-D-GLCP,4,H1,4.53
B-D-GLCP,4,H2,3.28
B-D-GLCP,4,H3,3.51
B-D-GLCP,4,H4,3.29
B-D-GLCP,4,H5,3.5
B-D-GLCP,4,H61,3.67
B-D-GLCP,4,H62,3.95
B-D-GLCP, ,C1,97
B-D-GLCP, ,C2,76
B-D-GLCP, ,C3,82.3
B-D-GLCP, ,C4,76
B-D-GLCP, ,C5,76.3
B-D-GLCP, ,C6,60.8
B-D-GLCP,4,C1,103
B-D-GLCP,4,C2,74.5
B-D-GLCP,4,C3,76.5
B-D-GLCP,4,C4,70.9
B-D-GLCP,4,C5,77.7
B-D-GLCP,4,C6,62.6
