Residual,Connection,Atom,Shift
A-D-GLCP, ,H1,5.15
A-D-GLCP, ,H2,3.74
A-D-GLCP, ,H3,5.39
A-D-GLCP, ,H4,4.96
A-D-GLCP, ,H5,4.05
A-D-GLCP, ,H61,4.3
A-D-GLCP, ,H62,4.08
A-D-GLCP, ,GlyH11,3.89
A-D-GLCP, ,GlyH12,3.79
A-D-GLCP, ,GlyH2,5.28
A-D-GLCP, ,GlyH3,4.41
B-D-GLCPNAC,2,H1,5.04
B-D-GLCPNAC,2,H2,3.44
B-D-GLCPNAC,2,H3,5.56
B-D-GLCPNAC,2,H4,4.86
B-D-GLCPNAC,2,H5,3.88
B-D-GLCPNAC,2,H6,3.73
B-D-GLCPNAC,2,NAc,1.27
B-D-GLCP," 2, 6",H1,4.49
B-D-GLCP," 2, 6",H2,4.93
B-D-GLCP," 2, 6",H3,5.18
B-D-GLCP," 2, 6",H4,4.86
B-D-GLCP," 2, 6",H5,3.76
B-D-GLCP," 2, 6",H6,3.79
B-D-GLCP," 2, 6, 6",H1,4.59
B-D-GLCP," 2, 6, 6",H2,5.05
B-D-GLCP," 2, 6, 6",H3,5.26
B-D-GLCP," 2, 6, 6",H4,5.08
B-D-GLCP," 2, 6, 6",H5,3.79
B-D-GLCP," 2, 6, 6",H61,4.3
B-D-GLCP," 2, 6, 6",H62,4.14
A-D-GLCP, ,C1,99.9
A-D-GLCP, ,C2,76.2
A-D-GLCP, ,C3,71.3
A-D-GLCP, ,C4,68.8
A-D-GLCP, ,C5,67.2
A-D-GLCP, ,C6,62.2
B-D-GLCPNAC,2,C1,98.6
B-D-GLCPNAC,2,C2,55.8
B-D-GLCPNAC,2,C3,71.4
B-D-GLCPNAC,2,C4,69.5
B-D-GLCPNAC,2,C5,72.3
B-D-GLCPNAC,2,C6,69
B-D-GLCPNAC,2,NAc,29.7
B-D-GLCP," 2, 6",C1,101
B-D-GLCP," 2, 6",C2,70.9
B-D-GLCP," 2, 6",C3,72.5
B-D-GLCP," 2, 6",C4,69.5
B-D-GLCP," 2, 6",C5,69.3
B-D-GLCP," 2, 6",C6,69.1
B-D-GLCP," 2, 6, 6",C1,101.4
B-D-GLCP," 2, 6, 6",C2,70.9
B-D-GLCP," 2, 6, 6",C3,72.1
B-D-GLCP," 2, 6, 6",C4,68.5
B-D-GLCP," 2, 6, 6",C5,72.3
B-D-GLCP," 2, 6, 6",C6,62.1
