Residual,Connection,Atom,Shift
A-D-GALP, ,H1,5.32
A-D-GALP, ,H2,3.87
A-D-GALP, ,H3,3.95
A-D-GALP, ,H4,4.14
A-D-GALPA,4,H1,5.03
A-D-GALPA,4,H2,4.03
A-D-GALPA,4,H3,4.13
A-D-GALPA,4,H4,4.52
A-D-GALPA,4,H5,4.84
B-D-GLCPA," 4, 3",H1,4.75
B-D-GLCPA," 4, 3",H2,3.46
B-D-GLCPA," 4, 3",H3,3.66
B-D-GLCPA," 4, 3",H4,3.77
B-D-GLCPA," 4, 3",H5,3.88
B-D-GLCPA," 4, 3, 4",H1,4.52
B-D-GLCPA," 4, 3, 4",H2,3.34
B-D-GLCPA," 4, 3, 4",H3,3.52
B-D-GLCPA," 4, 3, 4",H4,3.5
B-D-GLCPA," 4, 3, 4",H5,3.76
A-D-GALP, ,C1,95.1
A-D-GALP, ,C2,71.3
A-D-GALP, ,C3,73.8
A-D-GALP, ,C4,81
A-D-GALPA,4,C1,102.4
A-D-GALPA,4,C2,70.7
A-D-GALPA,4,C3,82.4
A-D-GALPA,4,C4,73.3
A-D-GALPA,4,C5,75
B-D-GLCPA," 4, 3",C1,106.3
B-D-GLCPA," 4, 3",C2,76
B-D-GLCPA," 4, 3",C3,77.3
B-D-GLCPA," 4, 3",C4,84
B-D-GLCPA," 4, 3",C5,78.8
B-D-GLCPA," 4, 3",C6,178.1
B-D-GLCPA," 4, 3, 4",C1,105.3
B-D-GLCPA," 4, 3, 4",C2,75.9
B-D-GLCPA," 4, 3, 4",C3,78.5
B-D-GLCPA," 4, 3, 4",C4,74.7
B-D-GLCPA," 4, 3, 4",C5,78.8
B-D-GLCPA," 4, 3, 4",C6,178.6
