Residual,Connection,Atom,Shift
B-D-GALP, ,H1,4.65
B-D-GALP, ,H2,3.56
B-D-GALP, ,H3,3.73
B-D-GALP, ,H4,4.08
A-D-GALPASO3,4,H1,5.26
A-D-GALPASO3,4,H2,4.64
A-D-GALPASO3,4,H3,4.23
A-D-GALPASO3,4,H4,4.56
A-D-GALPASO3,4,H5,4.75
B-D-GLCPA," 4, 3",H1,4.75
B-D-GLCPA," 4, 3",H2,3.46
B-D-GLCPA," 4, 3",H3,3.66
B-D-GLCPA," 4, 3",H4,3.77
B-D-GLCPA," 4, 3",H5,3.88
B-D-GLCPA," 4, 3, 4",H1,4.52
B-D-GLCPA," 4, 3, 4",H2,3.34
B-D-GLCPA," 4, 3, 4",H3,3.52
B-D-GLCPA," 4, 3, 4",H4,3.5
B-D-GLCPA," 4, 3, 4",H5,3.76
B-D-GALP, ,C1,99.3
B-D-GALP, ,C2,74.8
B-D-GALP, ,C3,75.7
B-D-GALP, ,C4,79.2
A-D-GALPASO3,4,C1,101
A-D-GALPASO3,4,C2,77.6
A-D-GALPASO3,4,C3,80
A-D-GALPASO3,4,C4,73.3
A-D-GALPASO3,4,C5,74.6
B-D-GLCPA," 4, 3",C1,106.3
B-D-GLCPA," 4, 3",C2,76
B-D-GLCPA," 4, 3",C3,77.3
B-D-GLCPA," 4, 3",C4,84
B-D-GLCPA," 4, 3",C5,78.8
B-D-GLCPA," 4, 3",C6,178.1
B-D-GLCPA," 4, 3, 4",C1,105.3
B-D-GLCPA," 4, 3, 4",C2,75.9
B-D-GLCPA," 4, 3, 4",C3,78.5
B-D-GLCPA," 4, 3, 4",C4,74.7
B-D-GLCPA," 4, 3, 4",C5,78.8
B-D-GLCPA," 4, 3, 4",C6,178.6
