Residual,Connection,Atom,Shift
B-D-MANP, ,H1,4.86
B-D-MANP, ,H2,4.13
B-D-MANP, ,H3,3.75
B-D-MANP, ,H4,3.66
B-D-MANP, ,H5,3.41
B-D-MANP, ,H61,3.74
B-D-MANP, ,H62,3.9
B-L-FUCP,2,H1,4.52
B-L-FUCP,2,H2,3.62
B-L-FUCP,2,H3,3.68
B-L-FUCP,2,H4,3.77
B-L-FUCP,2,H5,3.86
B-L-FUCP,2,H6,1.28
B-D-MANP, ,C1,93.79
B-D-MANP, ,C2,81.86
B-D-MANP, ,C3,73.99
B-D-MANP, ,C4,68.09
B-D-MANP, ,C5,77.24
B-D-MANP, ,C6,61.95
B-L-FUCP,2,C1,104.71
B-L-FUCP,2,C2,71.84
B-L-FUCP,2,C3,73.84
B-L-FUCP,2,C4,72.12
B-L-FUCP,2,C5,72.15
B-L-FUCP,2,C6,16.05
