Residual,Connection,Atom,Shift
B-D-GALP1OME, ,H1,4.36
B-D-GALP1OME, ,H2,3.61
B-D-GALP1OME, ,H3,3.87
B-D-GALP1OME, ,H4,3.79
B-D-GALP1OME, ,H5,3.69
B-D-GALP1OME, ,H6a,3.74
B-D-GALP1OME, ,H6b,3.8
B-L-FUCP,3,H1,4.51
B-L-FUCP,3,H2,3.55
B-L-FUCP,3,H3,3.66
B-L-FUCP,3,H4,3.76
B-L-FUCP,3,H5,3.84
B-L-FUCP,3,H6,1.26
B-D-GALP1OME, ,C1,104.9
B-D-GALP1OME, ,C2,70.5
B-D-GALP1OME, ,C3,81.5
B-D-GALP1OME, ,C4,67.6
B-D-GALP1OME, ,C5,76.1
B-D-GALP1OME, ,C6,62.1
B-D-GALP1OME, ,OMe,58.3
B-L-FUCP,3,C1,102
B-L-FUCP,3,C2,71.8
B-L-FUCP,3,C3,74.2
B-L-FUCP,3,C4,72.4
B-L-FUCP,3,C5,72.5
B-L-FUCP,3,C6,16.6
