Residual,Connection,Atom,Shift,Residual Num
B-D-FRUF, ,H11,3.74,1
B-D-FRUF, ,H12,3.68,1
B-D-FRUF, ,H3,4.18,1
B-D-FRUF, ,H4,4.09,1
B-D-FRUF, ,H5,3.84,1
B-D-FRUF, ,H61,3.83,1
B-D-FRUF, ,H62,3.75,1
B-D-FRUF,2,H11,3.85,2
B-D-FRUF,2,H12,3.75,2
B-D-FRUF,2,H3,4.26,2
B-D-FRUF,2,H4,4.11,2
B-D-FRUF,2,H5,3.81,2
B-D-FRUF,2,H61,3.85,2
B-D-FRUF,2,H62,3.75,2
B-D-FRUF," 2, 2",H11,3.95,3
B-D-FRUF," 2, 2",H12,3.84,3
B-D-FRUF," 2, 2",H3,4.31,3
B-D-FRUF," 2, 2",H4,4.04,3
B-D-FRUF," 2, 2",H5,3.82,3
B-D-FRUF," 2, 2",H61,3.81,3
B-D-FRUF," 2, 2",H62,3.77,3
A-D-GLCP," 2, 2, 2",H1,5.69,4
A-D-GLCP," 2, 2, 2",H2,3.62,4
A-D-GLCP," 2, 2, 2",H3,3.88,4
A-D-GLCP," 2, 2, 2",H4,3.48,4
A-D-GLCP," 2, 2, 2",H5,3.94,4
A-D-GLCP," 2, 2, 2",H6,3.79,4
A-D-GLCP," 2, 2, 2, 2",H1,5.36,5
A-D-GLCP," 2, 2, 2, 2",H2,3.67,5
A-D-GLCP," 2, 2, 2, 2",H3,3.87,5
A-D-GLCP," 2, 2, 2, 2",H4,3.48,5
A-D-GLCP," 2, 2, 2, 2",H5,3.79,5
A-D-GLCP," 2, 2, 2, 2",H61,3.86,5
A-D-GLCP," 2, 2, 2, 2",H62,3.75,5
A-D-GLCP," 2, 2, 2, 2, 2",H1,5.1,6
A-D-GLCP," 2, 2, 2, 2, 2",H2,3.57,6
A-D-GLCP," 2, 2, 2, 2, 2",H3,3.81,6
A-D-GLCP," 2, 2, 2, 2, 2",H4,3.44,6
A-D-GLCP," 2, 2, 2, 2, 2",H5,3.92,6
A-D-GLCP," 2, 2, 2, 2, 2",H61,3.84,6
A-D-GLCP," 2, 2, 2, 2, 2",H62,3.79,6
B-D-FRUF, ,C1,61.47,1
B-D-FRUF, ,C2,104.54,1
B-D-FRUF, ,C3,77.53,1
B-D-FRUF, ,C4,75.12,1
B-D-FRUF, ,C5,81.79,1
B-D-FRUF, ,C6,62.92,1
B-D-FRUF,2,C1,62.5,2
B-D-FRUF,2,C2,104.2,2
B-D-FRUF,2,C3,78.05,2
B-D-FRUF,2,C4,74.85,2
B-D-FRUF,2,C5,81.56,2
B-D-FRUF,2,C6,62.38,2
B-D-FRUF," 2, 2",C1,61.47,3
B-D-FRUF," 2, 2",C2,104.54,3
B-D-FRUF," 2, 2",C3,77.53,3
B-D-FRUF," 2, 2",C4,75.12,3
B-D-FRUF," 2, 2",C5,81.79,3
B-D-FRUF," 2, 2",C6,62.92,3
A-D-GLCP," 2, 2, 2",C1,91.52,4
A-D-GLCP," 2, 2, 2",C2,78.39,4
A-D-GLCP," 2, 2, 2",C3,72.52,4
A-D-GLCP," 2, 2, 2",C4,69.96,4
A-D-GLCP," 2, 2, 2",C5,73.0,4
A-D-GLCP," 2, 2, 2",C6,61.01,4
A-D-GLCP," 2, 2, 2, 2",C1,95.72,5
A-D-GLCP," 2, 2, 2, 2",C2,76.39,5
A-D-GLCP," 2, 2, 2, 2",C3,72.18,5
A-D-GLCP," 2, 2, 2, 2",C4,70.13,5
A-D-GLCP," 2, 2, 2, 2",C5,73.33,5
A-D-GLCP," 2, 2, 2, 2",C6,61.24,5
A-D-GLCP," 2, 2, 2, 2, 2",C1,97.05,6
A-D-GLCP," 2, 2, 2, 2, 2",C2,72.08,6
A-D-GLCP," 2, 2, 2, 2, 2",C3,73.43,6
A-D-GLCP," 2, 2, 2, 2, 2",C4,70.22,6
A-D-GLCP," 2, 2, 2, 2, 2",C5,72.65,6
A-D-GLCP," 2, 2, 2, 2, 2",C6,61.19,6
