Residual,Connection,Atom,Shift,Residual Num
B-D-FRUF, ,H11,3.79,1
B-D-FRUF, ,H12,3.7,1
B-D-FRUF, ,H3,4.2,1
B-D-FRUF, ,H4,4.08,1
B-D-FRUF, ,H61,3.84,1
B-D-FRUF, ,H62,3.81,1
B-D-FRUF,2,H11,3.98,2
B-D-FRUF,2,H12,3.73,2
B-D-FRUF,2,H3,4.34,2
B-D-FRUF,2,H4,4.04,2
B-D-FRUF,2,H6,3.08,2
A-D-GLCP," 2, 2",H1,5.67,3
A-D-GLCP," 2, 2",H2,3.61,3
A-D-GLCP," 2, 2",H3,3.9,3
A-D-GLCP," 2, 2",H4,3.49,3
A-D-GLCP," 2, 2",H5,3.9,3
A-D-GLCP," 2, 2",H6,3.81,3
A-D-GLCP," 2, 2, 2",H1,5.31,4
A-D-GLCP," 2, 2, 2",H2,3.69,4
A-D-GLCP," 2, 2, 2",H3,3.83,4
A-D-GLCP," 2, 2, 2",H4,3.47,4
A-D-GLCP," 2, 2, 2",H5,3.83,4
A-D-GLCP," 2, 2, 2",H6,3.88,4
A-D-GLCP," 2, 2, 2, 2",H1,5.08,5
A-D-GLCP," 2, 2, 2, 2",H2,3.59,5
A-D-GLCP," 2, 2, 2, 2",H3,3.91,5
A-D-GLCP," 2, 2, 2, 2",H4,3.45,5
A-D-GLCP," 2, 2, 2, 2",H5,3.96,5
A-D-GLCP," 2, 2, 2, 2",H61,3.84,5
A-D-GLCP," 2, 2, 2, 2",H62,3.78,5
B-D-FRUF, ,C1,61.5,1
B-D-FRUF, ,C2,104.71,1
B-D-FRUF, ,C3,77.33,1
B-D-FRUF, ,C4,75.14,1
B-D-FRUF, ,C5,81.93,1
B-D-FRUF, ,C6,63.14,1
B-D-FRUF,2,C1,61.79,2
B-D-FRUF,2,C2,104.53,2
B-D-FRUF,2,C3,76.74,2
B-D-FRUF,2,C4,74.48,2
B-D-FRUF,2,C5,82.1,2
B-D-FRUF,2,C6,62.98,2
A-D-GLCP," 2, 2",C1,91.82,3
A-D-GLCP," 2, 2",C2,80.91,3
A-D-GLCP," 2, 2",C3,72.74,3
A-D-GLCP," 2, 2",C4,69.78,3
A-D-GLCP," 2, 2",C5,72.95,3
A-D-GLCP," 2, 2",C6,60.97,3
A-D-GLCP," 2, 2, 2",C1,96.96,4
A-D-GLCP," 2, 2, 2",C2,76.81,4
A-D-GLCP," 2, 2, 2",C3,72.38,4
A-D-GLCP," 2, 2, 2",C4,70.52,4
A-D-GLCP," 2, 2, 2",C5,73.33,4
A-D-GLCP," 2, 2, 2",C6,61.29,4
A-D-GLCP," 2, 2, 2, 2",C1,97.56,5
A-D-GLCP," 2, 2, 2, 2",C2,72.03,5
A-D-GLCP," 2, 2, 2, 2",C3,73.38,5
A-D-GLCP," 2, 2, 2, 2",C4,70.27,5
A-D-GLCP," 2, 2, 2, 2",C5,72.63,5
A-D-GLCP," 2, 2, 2, 2",C6,61.2,5
