Residual,Connection,Atom,Shift,Residual Num
allyl, ,H11,4.31,1
allyl, ,H12,4.12,1
allyl, ,H2,5.9,1
allyl, ,H31,5.24,1
allyl, ,H32,5.3,1
b-D-GlcpNAc,1,H1,4.56,2
b-D-GlcpNAc,1,H2,3.74,2
b-D-GlcpNAc,1,H3,3.49,2
b-D-GlcpNAc,1,H4,3.47,2
b-D-GlcpNAc,1,H5,3.55,2
b-D-GlcpNAc,1,H61,3.57,2
b-D-GlcpNAc,1,H62,3.57,2
b-D-GlcpNAc,1,NAC,2.02,2
a-D-Kdop," 6,1",H31,1.9,3
a-D-Kdop," 6,1",H32,2.01,3
a-D-Kdop," 6,1",H4,4.12,3
a-D-Kdop," 6,1",H5,4.09,3
a-D-Kdop," 6,1",H6,3.61,3
a-D-Kdop," 6,1",H7,3.91,3
a-D-Kdop," 6,1",H81,3.58,3
a-D-Kdop," 6,1",H82,3.9,3
a-D-Kdop," 4,6,1",H31,1.74,4
a-D-Kdop," 4,6,1",H32,2.13,4
a-D-Kdop," 4,6,1",H4,4.05,4
a-D-Kdop," 4,6,1",H5,4.02,4
a-D-Kdop," 4,6,1",H6,3.59,4
a-D-Kdop," 4,6,1",H7,3.96,4
a-D-Kdop," 4,6,1",H81,3.72,4
a-D-Kdop," 4,6,1",H82,3.99,4
allyl, ,C1,71.2,1
allyl, ,C2,134.2,1
allyl, ,C3,118.7,1
b-D-GlcpNAc,1,C1,101.1,2
b-D-GlcpNAc,1,C2,56.4,2
b-D-GlcpNAc,1,C3,75.0,2
b-D-GlcpNAc,1,C4,71.1,2
b-D-GlcpNAc,1,C5,75.1,2
b-D-GlcpNAc,1,C6,62.4,2
b-D-GlcpNAc,1,CO,175.7,2
b-D-GlcpNAc,1,CH3,23.0,2
a-D-Kdop," 6,1",C1,175.4,3
a-D-Kdop," 6,1",C2,100.6,3
a-D-Kdop," 6,1",C3,34.1,3
a-D-Kdop," 6,1",C4,69.2,3
a-D-Kdop," 6,1",C5,65.0,3
a-D-Kdop," 6,1",C6,72.3,3
a-D-Kdop," 6,1",C7,70.4,3
a-D-Kdop," 6,1",C8,64.2,3
a-D-Kdop," 4,6,1",C1,176.4,4
a-D-Kdop," 4,6,1",C2,100.1,4
a-D-Kdop," 4,6,1",C3,35.3,4
a-D-Kdop," 4,6,1",C4,66.7,4
a-D-Kdop," 4,6,1",C5,67.0,4
a-D-Kdop," 4,6,1",C6,73.3,4
a-D-Kdop," 4,6,1",C7,70.5,4
a-D-Kdop," 4,6,1",C8,64.2,4
