Residual,Connection,Atom,Shift,Residual Num
A-L-RHAP, ,H1,5.05,1
A-L-RHAP, ,H2,4.04,1
A-L-RHAP, ,H3,3.77,1
A-L-RHAP, ,H4,3.49,1
A-L-RHAP, ,H5,3.71,1
A-L-RHAP, ,H6,1.31,1
A-L-RHAP,1,H1,5.21,2
A-L-RHAP,1,H2,4.14,2
A-L-RHAP,1,H3,3.94,2
A-L-RHAP,1,H4,3.42,2
A-L-RHAP,1,H5,3.81,2
A-L-RHAP,1,H6,1.27,2
B-D-GLCPNAC," 1, 2",H1,4.57,3
B-D-GLCPNAC," 1, 2",H2,3.81,3
B-D-GLCPNAC," 1, 2",H3,3.75,3
B-D-GLCPNAC," 1, 2",H4,3.69,3
B-D-GLCPNAC," 1, 2",H5,3.44,3
B-D-GLCPNAC," 1, 2",H61,3.76,3
B-D-GLCPNAC," 1, 2",H62,3.85,3
A-D-GALPA," 1, 2, 3",H1,5.29,4
A-D-GALPA," 1, 2, 3",H2,3.9,4
A-D-GALPA," 1, 2, 3",H3,4.0,4
A-D-GALPA," 1, 2, 3",H4,4.39,4
A-D-GALPA," 1, 2, 3",H5,4.28,4
A-L-RHAP," 1, 2, 3, 4",H1,5.13,5
A-L-RHAP," 1, 2, 3, 4",H2,4.14,5
A-L-RHAP," 1, 2, 3, 4",H3,3.84,5
A-L-RHAP," 1, 2, 3, 4",H4,3.46,5
A-L-RHAP," 1, 2, 3, 4",H5,3.75,5
A-L-RHAP," 1, 2, 3, 4",H6,1.24,5
A-L-RHAP, ,C1,103.6,1
A-L-RHAP, ,C2,71.4,1
A-L-RHAP, ,C3,71.5,1
A-L-RHAP, ,C4,73.3,1
A-L-RHAP, ,C5,70.5,1
A-L-RHAP, ,C6,18.0,1
A-L-RHAP,1,C1,102.8,2
A-L-RHAP,1,C2,79.6,2
A-L-RHAP,1,C3,77.7,2
A-L-RHAP,1,C4,73.7,2
A-L-RHAP,1,C5,70.8,2
A-L-RHAP,1,C6,17.9,2
B-D-GLCPNAC," 1, 2",C1,104.2,3
B-D-GLCPNAC," 1, 2",C2,55.8,3
B-D-GLCPNAC," 1, 2",C3,82.8,3
B-D-GLCPNAC," 1, 2",C4,71.6,3
B-D-GLCPNAC," 1, 2",C5,76.4,3
B-D-GLCPNAC," 1, 2",C6,61.5,3
A-D-GALPA," 1, 2, 3",C1,102.0,4
A-D-GALPA," 1, 2, 3",C2,69.6,4
A-D-GALPA," 1, 2, 3",C3,71.4,4
A-D-GALPA," 1, 2, 3",C4,78.3,4
A-D-GALPA," 1, 2, 3",C5,72.4,4
A-D-GALPA," 1, 2, 3",C6,175.0,4
A-L-RHAP," 1, 2, 3, 4",C1,102.2,5
A-L-RHAP," 1, 2, 3, 4",C2,71.5,5
A-L-RHAP," 1, 2, 3, 4",C3,79.5,5
A-L-RHAP," 1, 2, 3, 4",C4,72.8,5
A-L-RHAP," 1, 2, 3, 4",C5,70.4,5
A-L-RHAP," 1, 2, 3, 4",C6,17.9,5
