Residual,Connection,Atom,Shift,Residual Num
B-D-XYLP, ,H1,4.714,1
B-D-XYLP, ,H2,3.303,1
B-D-XYLP, ,H3,3.445,1
B-D-XYLP, ,H4,3.632,1
B-D-XYLP, ,H5 ax,3.301,1
B-D-XYLP, ,H5 eq,3.97,1
B-L-GALP,1,H1,4.775,2
B-L-GALP,1,H2,3.634,2
B-L-GALP,1,H3,3.715,2
B-L-GALP,1,H4,4.13,2
B-L-GALP,1,H5,3.772,2
B-D-XYLP," 1, 4",H1,4.356,3
B-D-XYLP," 1, 4",H2,3.396,3
B-D-XYLP," 1, 4",H3,3.562,3
B-D-XYLP," 1, 4",H4,3.811,3
B-D-XYLP," 1, 4",H5 ax,3.355,3
B-D-XYLP," 1, 4",H5 eq,4.107,3
B-D-XYLP," 1, 4, 4",H1,4.461,4
B-D-XYLP," 1, 4, 4",H2,3.256,4
B-D-XYLP," 1, 4, 4",H3,3.429,4
B-D-XYLP," 1, 4, 4",H4,3.632,4
B-D-XYLP," 1, 4, 4",H5 ax,3.301,4
B-D-XYLP," 1, 4, 4",H5 eq,3.97,4
B-D-XYLP, ,C1,103.99,1
B-D-XYLP, ,C2,74.04,1
B-D-XYLP, ,C3,76.91,1
B-D-XYLP, ,C4,70.44,1
B-D-XYLP, ,C5,66.47,1
B-L-GALP,1,C1,97.44,2
B-L-GALP,1,C2,80.33,2
B-L-GALP,1,C3,71.66,2
B-L-GALP,1,C4,78.45,2
B-L-GALP,1,C5,76.13,2
B-L-GALP,1,C6,61.83,2
B-D-XYLP," 1, 4",C1,104.7,3
B-D-XYLP," 1, 4",C2,74.5,3
B-D-XYLP," 1, 4",C3,74.97,3
B-D-XYLP," 1, 4",C4,77.64,3
B-D-XYLP," 1, 4",C5,64.29,3
B-D-XYLP," 1, 4, 4",C1,103.08,4
B-D-XYLP," 1, 4, 4",C2,74.04,4
B-D-XYLP," 1, 4, 4",C3,76.92,4
B-D-XYLP," 1, 4, 4",C4,70.44,4
B-D-XYLP," 1, 4, 4",C5,66.47,4
