Residual,Connection,Atom,Shift,Residual Num
A-D-GLCP1OME, ,H1,4.97,1
A-D-GLCP1OME, ,H2,3.75,1
A-D-GLCP1OME, ,H3,3.78,1
A-D-GLCP1OME, ,H4,3.45,1
A-D-GLCP1OME, ,H5,3.66,1
A-D-GLCP1OME, ,H61,3.77,1
A-D-GLCP1OME, ,H62,3.89,1
B-L-FUCP,2,H1,4.47,2
B-L-FUCP,2,H2,3.51,2
B-L-FUCP,2,H3,3.64,2
B-L-FUCP,2,H4,3.76,2
B-L-FUCP,2,H5,3.79,2
B-L-FUCP,2,H6,1.26,2
A-D-GLCP1OME, ,C1,98.7,1
A-D-GLCP1OME, ,C2,79.8,1
A-D-GLCP1OME, ,C3,72.9,1
A-D-GLCP1OME, ,C4,71.0,1
A-D-GLCP1OME, ,C5,72.6,1
A-D-GLCP1OME, ,C6,62.0,1
A-D-GLCP1OME, ,OMe,56.2,1
B-L-FUCP,2,C1,103.2,2
B-L-FUCP,2,C2,71.7,2
B-L-FUCP,2,C3,74.2,2
B-L-FUCP,2,C4,72.6,2
B-L-FUCP,2,C5,72.3,2
B-L-FUCP,2,C6,16.6,2
