Residual,Connection,Atom,Shift,Residual Num
B-D-GALPNAC, ,H1,4.6,1
B-D-GALPNAC, ,H2,4.02,1
B-D-GALPNAC, ,H3,3.81,1
B-D-GALPNAC, ,H4,4.14,1
B-D-GALPNAC, ,H5,3.67,1
B-D-GALPNAC, ,H61,3.73,1
B-D-GALPNAC, ,H62,3.73,1
B-D-GLCPA,4,H1,4.65,2
B-D-GLCPA,4,H2,3.45,2
B-D-GLCPA,4,H3,3.75,2
B-D-GLCPA,4,H4,3.77,2
B-D-GLCPA,4,H5,3.8,2
A-D-GLCP," 4, 4",H1,5.44,3
A-D-GLCP," 4, 4",H2,3.46,3
A-D-GLCP," 4, 4",H3,3.65,3
A-D-GLCP," 4, 4",H4,3.4,3
A-D-GLCP," 4, 4",H5,3.73,3
A-D-GLCP," 4, 4",H61,3.84,3
A-D-GLCP," 4, 4",H62,4.07,3
B-D-GALPNAC," 4, 4, 6",H1,4.52,4
B-D-GALPNAC," 4, 4, 6",H2,4.08,4
B-D-GALPNAC," 4, 4, 6",H3,3.82,4
B-D-GALPNAC," 4, 4, 6",H4,4.16,4
B-D-GALPNAC," 4, 4, 6",H5,3.66,4
B-D-GALPNAC," 4, 4, 6",H61,3.75,4
B-D-GALPNAC," 4, 4, 6",H62,3.84,4
A-D-GALP," 4, 4, 6, 3",H1,5.08,5
A-D-GALP," 4, 4, 6, 3",H2,3.87,5
A-D-GALP," 4, 4, 6, 3",H3,3.77,5
A-D-GALP," 4, 4, 6, 3",H4,4.19,5
A-D-GALP," 4, 4, 6, 3",H5,3.84,5
A-D-GALP," 4, 4, 6, 3",H61,3.7,5
A-D-GALP," 4, 4, 6, 3",H62,3.7,5
B-D-GALPNAC, ,C1,104.5,1
B-D-GALPNAC, ,C2,54.2,1
B-D-GALPNAC, ,C3,72.4,1
B-D-GALPNAC, ,C4,77.4,1
B-D-GALPNAC, ,C5,75.4,1
B-D-GALPNAC, ,C6,61.8,1
B-D-GLCPA,4,C1,104.5,2
B-D-GLCPA,4,C2,74.7,2
B-D-GLCPA,4,C3,77.5,2
B-D-GLCPA,4,C4,77.5,2
B-D-GLCPA,4,C5,77.4,2
B-D-GLCPA,4,C6,176.4,2
A-D-GLCP," 4, 4",C1,99.6,3
A-D-GLCP," 4, 4",C2,72.7,3
A-D-GLCP," 4, 4",C3,73.8,3
A-D-GLCP," 4, 4",C4,70.2,3
A-D-GLCP," 4, 4",C5,71.8,3
A-D-GLCP," 4, 4",C6,68.8,3
B-D-GALPNAC," 4, 4, 6",C1,102.9,4
B-D-GALPNAC," 4, 4, 6",C2,51.9,4
B-D-GALPNAC," 4, 4, 6",C3,76.5,4
B-D-GALPNAC," 4, 4, 6",C4,65.0,4
B-D-GALPNAC," 4, 4, 6",C5,76.0,4
B-D-GALPNAC," 4, 4, 6",C6,62.2,4
A-D-GALP," 4, 4, 6, 3",C1,99.4,5
A-D-GALP," 4, 4, 6, 3",C2,68.2,5
A-D-GALP," 4, 4, 6, 3",C3,80.7,5
A-D-GALP," 4, 4, 6, 3",C4,70.2,5
A-D-GALP," 4, 4, 6, 3",C5,72.1,5
A-D-GALP," 4, 4, 6, 3",C6,61.7,5
