Residual,Connection,Atom,Shift,Residual Num
b-D-Rhap," 2,until",H1,4.8,1
b-D-Rhap," 2,until",H2,4.11,1
b-D-Rhap," 2,until",H3,3.71,1
b-D-Rhap," 2,until",H4,3.44,1
b-D-Rhap," 2,until",H5,3.43,1
b-D-Rhap," 2,until",CH3,1.34,1
a-D-Rhap," 2,2,until",H1,5.25,2
a-D-Rhap," 2,2,until",H2,4.23,2
a-D-Rhap," 2,2,until",H3,4.11,2
a-D-Rhap," 2,2,until",H4,3.61,2
a-D-Rhap," 2,2,until",H5,4.21,2
a-D-Rhap," 2,2,until",CH3,1.28,2
a-D-Rhap," 3,2,2,until",H1,5.14,4
a-D-Rhap," 3,2,2,until",H2,4.23,4
a-D-Rhap," 3,2,2,until",H3,3.92,4
a-D-Rhap," 3,2,2,until",H4,3.56,4
a-D-Rhap," 3,2,2,until",H5,3.79,4
a-D-Rhap," 3,2,2,until",CH3,1.34,4
a-D-Xylf," 2,2,2,until",H1,5.28,3
a-D-Xylf," 2,2,2,until",H2,4.11,3
a-D-Xylf," 2,2,2,until",H3,4.36,3
a-D-Xylf," 2,2,2,until",H4,4.25,3
a-D-Xylf," 2,2,2,until",H51,3.77,3
a-D-Xylf," 2,2,2,until",H52,3.69,3
b-D-Rhap," 2,until",C1,97.6,1
b-D-Rhap," 2,until",C2,78.4,1
b-D-Rhap," 2,until",C3,74.1,1
b-D-Rhap," 2,until",C4,73.4,1
b-D-Rhap," 2,until",C5,73.2,1
b-D-Rhap," 2,until",C6,17.3,1
a-D-Rhap," 2,2,until",C1,101.1,2
a-D-Rhap," 2,2,until",C2,78.1,2
a-D-Rhap," 2,2,until",C3,77.2,2
a-D-Rhap," 2,2,until",C4,72.9,2
a-D-Rhap," 2,2,until",C5,69.8,2
a-D-Rhap," 2,2,until",C6,17.6,2
a-D-Rhap," 3,2,2,until",C1,102.3,4
a-D-Rhap," 3,2,2,until",C2,68.1,4
a-D-Rhap," 3,2,2,until",C3,78.1,4
a-D-Rhap," 3,2,2,until",C4,71.2,4
a-D-Rhap," 3,2,2,until",C5,70.2,4
a-D-Rhap," 3,2,2,until",C6,17.8,4
a-D-Xylf," 2,2,2,until",C1,103.0,3
a-D-Xylf," 2,2,2,until",C2,78.4,3
a-D-Xylf," 2,2,2,until",C3,75.8,3
a-D-Xylf," 2,2,2,until",C4,79.2,3
a-D-Xylf," 2,2,2,until",C5,61.3,3
