Residual,Connection,Atom,Shift,Residual Num
a-D-Glcp, ,H1,5.16,1
a-D-Glcp, ,H2,3.6,1
a-D-Glcp, ,H3,3.81,1
a-D-Glcp, ,H4,3.4,1
a-D-Glcp, ,H6,3.71,1
a-D-Glcp,1,H1,5.14,3
a-D-Glcp,1,H2,3.63,3
a-D-Glcp,1,H3,3.81,3
a-D-Glcp,1,H4,3.55,3
a-D-Glcp,1,H5,3.85,3
a-D-Glcp,1,H61,3.92,3
a-D-Glcp,1,H62,4.0,3
a-D-Glcp, ,C1,90.8,1
a-D-Glcp, ,C2,69.4,1
a-D-Glcp, ,C3,70.8,1
a-D-Glcp, ,C4,68.1,1
a-D-Glcp, ,C5,70.6,1
a-D-Glcp, ,C6,59.0,1
a-D-Glcp,1,C1,90.8,3
a-D-Glcp,1,C2,69.4,3
a-D-Glcp,1,C3,70.9,3
a-D-Glcp,1,C4,67.6,3
a-D-Glcp,1,C5,69.7,3
a-D-Glcp,1,C6,62.2,3
