Residual,Connection,Atom,Shift,Residual Num
A-D-GLCP, ,H1,5.569,1
A-D-GLCP, ,H2,3.514,1
A-D-GLCP, ,H3,3.657,1
A-D-GLCP, ,H4,3.497,1
A-D-GLCP, ,H5,4.014,1
A-D-GLCP, ,H6,3.83,1
B-D-GALP,1,H1,4.75,2
B-D-GALP,1,H2,3.929,2
B-D-GALP,1,H3,3.927,2
B-D-GALP,1,H4,4.281,2
B-D-GALP,1,H5,3.688,2
A-D-GALP," 1, 3",H1,5.262,3
A-D-GALP," 1, 3",H2,3.95,3
A-D-GALP," 1, 3",H3,3.936,3
A-D-GALP," 1, 3",H4,4.245,3
A-D-GALP," 1, 3",H5,4.04,3
B-D-MANP," 1, 3, 4",H1,4.849,4
B-D-MANP," 1, 3, 4",H2,4.204,4
B-D-MANP," 1, 3, 4",H3,3.814,4
B-D-MANP," 1, 3, 4",H4,3.832,4
B-D-MANP," 1, 3, 4",H5,3.485,4
B-D-MANP," 1, 3, 4, 4",H1,4.796,5
B-D-MANP," 1, 3, 4, 4",H2,4.318,5
B-D-MANP," 1, 3, 4, 4",H3,3.942,5
B-D-MANP," 1, 3, 4, 4",H4,3.849,5
B-D-MANP," 1, 3, 4, 4",H5,3.675,5
A-L-RHAP," 1, 3, 4, 4, 3",H1,5.116,6
A-L-RHAP," 1, 3, 4, 4, 3",H2,4.054,6
A-L-RHAP," 1, 3, 4, 4, 3",H3,4.142,6
A-L-RHAP," 1, 3, 4, 4, 3",H4,3.478,6
A-L-RHAP," 1, 3, 4, 4, 3",H5,4.429,6
A-L-RHAP," 1, 3, 4, 4, 3",H6,1.34,6
A-D-GALP," 1, 3, 4, 4, 3, 2",H1,5.085,7
A-D-GALP," 1, 3, 4, 4, 3, 2",H2,3.849,7
A-D-GALP," 1, 3, 4, 4, 3, 2",H3,3.951,7
A-D-GALP," 1, 3, 4, 4, 3, 2",H4,4.037,7
A-D-GALP," 1, 3, 4, 4, 3, 2",H5,3.933,7
A-D-GLCP, ,C1,97.93,1
A-D-GLCP, ,C2,72.31,1
A-D-GLCP, ,C3,74.1,1
A-D-GLCP, ,C4,70.09,1
A-D-GLCP, ,C5,71.84,1
A-D-GLCP, ,C6,61.0,1
B-D-GALP,1,C1,100.97,2
B-D-GALP,1,C2,75.2,2
B-D-GALP,1,C3,71.82,2
B-D-GALP,1,C4,67.66,2
B-D-GALP,1,C5,75.81,2
B-D-GALP,1,C6,61.0,2
A-D-GALP," 1, 3",C1,94.24,3
A-D-GALP," 1, 3",C2,70.45,3
A-D-GALP," 1, 3",C3,68.94,3
A-D-GALP," 1, 3",C4,77.18,3
A-D-GALP," 1, 3",C5,71.82,3
A-D-GALP," 1, 3",C6,61.0,3
B-D-MANP," 1, 3, 4",C1,101.59,4
B-D-MANP," 1, 3, 4",C2,70.65,4
B-D-MANP," 1, 3, 4",C3,72.4,4
B-D-MANP," 1, 3, 4",C4,78.1,4
B-D-MANP," 1, 3, 4",C5,75.64,4
B-D-MANP," 1, 3, 4",C6,61.0,4
B-D-MANP," 1, 3, 4, 4",C1,101.39,5
B-D-MANP," 1, 3, 4, 4",C2,67.47,5
B-D-MANP," 1, 3, 4, 4",C3,75.02,5
B-D-MANP," 1, 3, 4, 4",C4,73.81,5
B-D-MANP," 1, 3, 4, 4",C5,73.29,5
B-D-MANP," 1, 3, 4, 4",C6,61.0,5
A-L-RHAP," 1, 3, 4, 4, 3",C1,94.02,6
A-L-RHAP," 1, 3, 4, 4, 3",C2,77.35,6
A-L-RHAP," 1, 3, 4, 4, 3",C3,70.45,6
A-L-RHAP," 1, 3, 4, 4, 3",C4,73.48,6
A-L-RHAP," 1, 3, 4, 4, 3",C5,69.43,6
A-L-RHAP," 1, 3, 4, 4, 3",C6,17.34,6
A-D-GALP," 1, 3, 4, 4, 3, 2",C1,98.68,7
A-D-GALP," 1, 3, 4, 4, 3, 2",C2,69.14,7
A-D-GALP," 1, 3, 4, 4, 3, 2",C3,69.17,7
A-D-GALP," 1, 3, 4, 4, 3, 2",C4,70.07,7
A-D-GALP," 1, 3, 4, 4, 3, 2",C5,71.91,7
A-D-GALP," 1, 3, 4, 4, 3, 2",C6,61.0,7
