Residual,Connection,Atom,Shift,Residual Num
D-GAL-OL, ,H1,3.72,999
D-GAL-OL, ,H2,4.05,999
D-GAL-OL, ,H3,3.79,999
D-GAL-OL, ,H4,3.87,999
D-GAL-OL, ,H5,4.04,999
D-GAL-OL, ,H61,3.65,999
D-GAL-OL, ,H62,3.65,999
A-D-GALP,3,H1,5.1,1
A-D-GALP,3,H2,3.82,1
A-D-GALP,3,H3,3.68,1
A-D-GALP,3,H4,4.02,1
A-D-GALP,3,H5,4.18,1
A-D-GALP,3,H61,3.87,1
A-D-GALP,3,H62,3.68,1
A-D-GALP," 3, 6",H1,4.99,2
A-D-GALP," 3, 6",H2,3.92,2
A-D-GALP," 3, 6",H3,3.99,2
A-D-GALP," 3, 6",H4,4.21,2
A-D-GALP," 3, 6",H5,3.87,2
A-D-GALP," 3, 6",H61,4.12,2
A-D-GALP," 3, 6",H62,3.99,2
D-GAL-OL, ,C1,64.2,999
D-GAL-OL, ,C2,73.0,999
D-GAL-OL, ,C3,79.8,999
D-GAL-OL, ,C4,71.0,999
D-GAL-OL, ,C5,71.3,999
D-GAL-OL, ,C6,64.2,999
A-D-GALP,3,C1,101.2,1
A-D-GALP,3,C2,69.5,1
A-D-GALP,3,C3,70.2,1
A-D-GALP,3,C4,70.5,1
A-D-GALP,3,C5,71.1,1
A-D-GALP,3,C6,68.6,1
A-D-GALP," 3, 6",C1,100.3,2
A-D-GALP," 3, 6",C2,69.2,2
A-D-GALP," 3, 6",C3,69.2,2
A-D-GALP," 3, 6",C4,77.0,2
A-D-GALP," 3, 6",C5,64.5,2
A-D-GALP," 3, 6",C6,69.8,2
