Residual,Connection,Atom,Shift,Residual Num
B-D-FRUF, ,H11,3.75,999
B-D-FRUF, ,H12,3.68,999
B-D-FRUF, ,H3,4.18,999
B-D-FRUF, ,H4,4.1,999
B-D-FRUF, ,H5,3.85,999
B-D-FRUF, ,H61,3.82,999
B-D-FRUF, ,H62,3.85,999
B-D-FRUF,2,H11,3.87,999
B-D-FRUF,2,H12,3.72,999
B-D-FRUF,2,H3,4.21,999
B-D-FRUF,2,H4,4.06,999
B-D-FRUF,2,H5,3.85,999
B-D-FRUF,2,H61,3.82,999
B-D-FRUF,2,H62,3.75,999
B-D-FRUF," 2, 2",H11,3.89,999
B-D-FRUF," 2, 2",H12,3.82,999
B-D-FRUF," 2, 2",H3,4.27,999
B-D-FRUF," 2, 2",H4,4.08,999
B-D-FRUF," 2, 2",H5,3.79,999
B-D-FRUF," 2, 2",H61,3.82,999
B-D-FRUF," 2, 2",H62,3.75,999
A-D-GLCP," 2, 2, 2",H1,5.71,1
A-D-GLCP," 2, 2, 2",H2,3.65,1
A-D-GLCP," 2, 2, 2",H3,3.85,1
A-D-GLCP," 2, 2, 2",H4,3.48,1
A-D-GLCP," 2, 2, 2",H5,3.94,1
A-D-GLCP," 2, 2, 2",H61,4.04,1
A-D-GLCP," 2, 2, 2",H62,3.8,1
A-D-GLCP," 2, 2, 2, 2",H1,5.12,2
A-D-GLCP," 2, 2, 2, 2",H2,3.54,2
A-D-GLCP," 2, 2, 2, 2",H3,3.76,2
A-D-GLCP," 2, 2, 2, 2",H4,3.43,2
A-D-GLCP," 2, 2, 2, 2",H5,3.9,2
A-D-GLCP," 2, 2, 2, 2",H61,3.83,2
A-D-GLCP," 2, 2, 2, 2",H62,3.77,2
B-D-FRUF, ,C1,61.46,999
B-D-FRUF, ,C2,104.65,999
B-D-FRUF, ,C3,77.6,999
B-D-FRUF, ,C4,75.21,999
B-D-FRUF, ,C5,82.02,999
B-D-FRUF, ,C6,63.13,999
B-D-FRUF,2,C1,61.52,999
B-D-FRUF,2,C2,103.97,999
B-D-FRUF,2,C3,78.25,999
B-D-FRUF,2,C4,75.34,999
B-D-FRUF,2,C5,82.06,999
B-D-FRUF,2,C6,63.32,999
B-D-FRUF," 2, 2",C1,62.15,999
B-D-FRUF," 2, 2",C2,104.63,999
B-D-FRUF," 2, 2",C3,77.83,999
B-D-FRUF," 2, 2",C4,74.7,999
B-D-FRUF," 2, 2",C5,81.86,999
B-D-FRUF," 2, 2",C6,62.85,999
A-D-GLCP," 2, 2, 2",C1,90.71,1
A-D-GLCP," 2, 2, 2",C2,75.82,1
A-D-GLCP," 2, 2, 2",C3,72.12,1
A-D-GLCP," 2, 2, 2",C4,70.19,1
A-D-GLCP," 2, 2, 2",C5,73.16,1
A-D-GLCP," 2, 2, 2",C6,61.2,1
A-D-GLCP," 2, 2, 2, 2",C1,96.77,2
A-D-GLCP," 2, 2, 2, 2",C2,72.28,2
A-D-GLCP," 2, 2, 2, 2",C3,73.83,2
A-D-GLCP," 2, 2, 2, 2",C4,70.28,2
A-D-GLCP," 2, 2, 2, 2",C5,72.74,2
A-D-GLCP," 2, 2, 2, 2",C6,61.3,2
