Residual,Connection,Atom,Shift,Residual Num
A-D-MANP, ,H1,5.295,1
A-D-MANP, ,H2,3.954,1
A-D-MANP, ,H3,3.932,1
A-D-MANP, ,H4,3.778,1
A-D-MANP, ,H5,3.77,1
A-D-MANP, ,H61,3.85,1
A-D-MANP, ,H62,3.75,1
A-D-GALPA,2,H1,5.37,2
A-D-GALPA,2,H2,3.957,2
A-D-GALPA,2,H3,4.058,2
A-D-GALPA,2,H4,4.3,2
A-D-GALPA,2,H5,4.402,2
A-D-GLCPA," 2, 2",H1,5.173,3
A-D-GLCPA," 2, 2",H2,3.619,3
A-D-GLCPA," 2, 2",H3,3.785,3
A-D-GLCPA," 2, 2",H4,3.504,3
A-D-GLCPA," 2, 2",H5,4.178,3
A-D-MANP, ,C1,93.74,1
A-D-MANP, ,C2,80.74,1
A-D-MANP, ,C3,71.41,1
A-D-MANP, ,C4,68.41,1
A-D-MANP, ,C5,73.76,1
A-D-MANP, ,C6,62.21,1
A-D-GALPA,2,C1,99.09,2
A-D-GALPA,2,C2,74.3,2
A-D-GALPA,2,C3,69.25,2
A-D-GALPA,2,C4,72.41,2
A-D-GALPA,2,C5,73.28,2
A-D-GLCPA," 2, 2",C1,97.29,3
A-D-GLCPA," 2, 2",C2,72.47,3
A-D-GLCPA," 2, 2",C3,74.06,3
A-D-GLCPA," 2, 2",C4,73.21,3
A-D-GLCPA," 2, 2",C5,73.58,3
