Residual,Connection,Atom,Shift,Residual Num
A-D-GALP, ,H1,4.98,1
A-D-GALP, ,H2,3.9,1
A-D-GALP, ,H3,3.93,1
A-D-GALP, ,H4,4.22,1
A-D-GALP, ,H5,3.96,1
A-D-GALP, ,H6,3.74,1
B-D-GALPNAC,3,H1,4.73,2
B-D-GALPNAC,3,H2,4.05,2
B-D-GALPNAC,3,H3,3.9,2
B-D-GALPNAC,3,H4,4.17,2
B-D-GALPNAC,3,H5,3.7,2
B-D-GALPNAC,3,H6,3.77,2
B-D-GALP," 3, 3",H1,4.45,3
B-D-GALP," 3, 3",H2,3.59,3
B-D-GALP," 3, 3",H3,3.69,3
B-D-GALP," 3, 3",H4,4.1,3
B-D-GALP," 3, 3",H5,3.64,3
B-D-GALP," 3, 3",H6,3.75,3
B-D-GLCPNAC," 3, 3, 3",H1,4.76,4
B-D-GLCPNAC," 3, 3, 3",H2,3.76,4
B-D-GLCPNAC," 3, 3, 3",H3,3.58,4
B-D-GLCPNAC," 3, 3, 3",H4,3.62,4
B-D-GLCPNAC," 3, 3, 3",H5,3.62,4
B-D-GLCPNAC," 3, 3, 3",H61,3.77,4
B-D-GLCPNAC," 3, 3, 3",H62,4.02,4
A-D-GALP, ,C1,99.3,1
A-D-GALP, ,C2,68.4,1
A-D-GALP, ,C3,80.2,1
A-D-GALP, ,C4,70.1,1
A-D-GALP, ,C5,71.7,1
A-D-GALP, ,C6,62.1,1
B-D-GALPNAC,3,C1,103.9,2
B-D-GALPNAC,3,C2,52.5,2
B-D-GALPNAC,3,C3,80.6,2
B-D-GALPNAC,3,C4,69.1,2
B-D-GALPNAC,3,C5,75.7,2
B-D-GALPNAC,3,C6,62.1,2
B-D-GALP," 3, 3",C1,105.8,3
B-D-GALP," 3, 3",C2,70.7,3
B-D-GALP," 3, 3",C3,82.9,3
B-D-GALP," 3, 3",C4,69.5,3
B-D-GALP," 3, 3",C5,75.6,3
B-D-GALP," 3, 3",C6,62.1,3
B-D-GLCPNAC," 3, 3, 3",C1,104.1,4
B-D-GLCPNAC," 3, 3, 3",C2,56.7,4
B-D-GLCPNAC," 3, 3, 3",C3,75.1,4
B-D-GLCPNAC," 3, 3, 3",C4,70.2,4
B-D-GLCPNAC," 3, 3, 3",C5,75.3,4
B-D-GLCPNAC," 3, 3, 3",C6,66.4,4
