Residual,Connection,Atom,Shift,Residual Num
A-D-GALPNAC, ,H1,5.801,1
A-D-GALPNAC, ,H2,4.567,1
A-D-GALPNAC, ,H3,4.298,1
A-D-GALPNAC, ,H4,4.307,1
A-D-GALPNAC, ,H5,4.18,1
A-D-GALPNAC, ,H6a,3.748,1
A-D-GALPNAC, ,H6b,4.017,1
A-D-GALPNAC, ,CH3,2.005,1
B-D-GALP,3,H1,4.541,2
B-D-GALP,3,H2,3.555,2
B-D-GALP,3,H3,3.655,2
B-D-GALP,3,H4,3.932,2
B-D-GALP,3,H5,3.692,2
B-D-GALP,3,H6 a,3.796,2
B-D-GALP,3,H6 b,3.757,2
B-D-GLCPNAC," 3, 6",H1,4.457,3
B-D-GLCPNAC," 3, 6",H2,3.555,3
B-D-GLCPNAC," 3, 6",H3,3.436,3
B-D-GLCPNAC," 3, 6",H4,3.285,3
B-D-GLCPNAC," 3, 6",H5,3.377,3
B-D-GLCPNAC," 3, 6",H6 a,3.604,3
B-D-GLCPNAC," 3, 6",H6 b,3.849,3
B-D-GLCPNAC," 3, 6",CH3,1.905,3
A-D-GALPNAC, ,C1,95.85,1
A-D-GALPNAC, ,C2,47.96,1
A-D-GALPNAC, ,C3,76.2,1
A-D-GALPNAC, ,C4,68.39,1
A-D-GALPNAC, ,C5,70.55,1
A-D-GALPNAC, ,C6,68.86,1
A-D-GALPNAC, ,C-O,174.51,1
A-D-GALPNAC, ,CH3,21.7,1
B-D-GALP,3,C1,104.56,2
B-D-GALP,3,C2,70.37,2
B-D-GALP,3,C3,72.3,2
B-D-GALP,3,C4,68.45,2
B-D-GALP,3,C5,74.86,2
B-D-GALP,3,C6,60.85,2
B-D-GLCPNAC," 3, 6",C1,100.95,3
B-D-GLCPNAC," 3, 6",C2,55.13,3
B-D-GLCPNAC," 3, 6",C3,73.73,3
B-D-GLCPNAC," 3, 6",C4,69.68,3
B-D-GLCPNAC," 3, 6",C5,75.65,3
B-D-GLCPNAC," 3, 6",C6,60.52,3
B-D-GLCPNAC," 3, 6",C-O,174.01,3
B-D-GLCPNAC," 3, 6",CH3,21.82,3
