Residual,Connection,Atom,Shift,Residual Num
b-D-Ribf," 2,until",H1,5.33,1
b-D-Ribf," 2,until",H2,4.26,1
b-D-Ribf," 2,until",H3,4.28,1
b-D-Ribf," 2,until",H4,4.1,1
a-D-GlcpNAc," 2,2,until",H1,5.17,2
a-D-GlcpNAc," 2,2,until",H2,4.19,2
a-D-GlcpNAc," 2,2,until",H3,4.04,2
a-D-GlcpNAc," 2,2,until",H4,3.65,2
a-D-GlcpNAc," 2,2,until",H5,3.94,2
a-D-GlcpNAc," 2,2,until",NAC,2.07,2
b-D-Galp," 3,2,2,until",H1,4.54,3
b-D-Galp," 3,2,2,until",H2,3.59,3
b-D-Galp," 3,2,2,until",H3,3.73,3
b-D-Galp," 3,2,2,until",H4,4.01,3
b-D-Galp," 3,2,2,until",H5,3.76,3
a-D-GlcpNAc," 4,3,2,2,until",H1,4.91,4
a-D-GlcpNAc," 4,3,2,2,until",H2,3.95,4
a-D-GlcpNAc," 4,3,2,2,until",H3,3.94,4
a-D-GlcpNAc," 4,3,2,2,until",H4,3.74,4
a-D-GlcpNAc," 4,3,2,2,until",H5,4.28,4
a-D-GlcpNAc," 4,3,2,2,until",NAC,2.08,4
b-D-Galp," 4,4,3,2,2,until",H1,4.51,5
b-D-Galp," 4,4,3,2,2,until",H2,3.53,5
b-D-Galp," 4,4,3,2,2,until",H3,3.78,5
b-D-Galp," 4,4,3,2,2,until",H4,4.02,5
b-D-Galp," 4,4,3,2,2,until",H5,3.76,5
b-D-Ribf," 2,until",C1,107.6,1
b-D-Ribf," 2,until",C2,80.0,1
b-D-Ribf," 2,until",C3,71.6,1
b-D-Ribf," 2,until",C4,83.9,1
b-D-Ribf," 2,until",C5,63.5,1
a-D-GlcpNAc," 2,2,until",C1,96.7,2
a-D-GlcpNAc," 2,2,until",C2,53.2,2
a-D-GlcpNAc," 2,2,until",C3,81.4,2
a-D-GlcpNAc," 2,2,until",C4,69.6,2
a-D-GlcpNAc," 2,2,until",C5,73.0,2
b-D-Galp," 3,2,2,until",C1,104.4,3
b-D-Galp," 3,2,2,until",C2,71.7,3
b-D-Galp," 3,2,2,until",C3,73.1,3
b-D-Galp," 3,2,2,until",C4,77.4,3
b-D-Galp," 3,2,2,until",C5,76.5,3
a-D-GlcpNAc," 4,3,2,2,until",C1,98.7,4
a-D-GlcpNAc," 4,3,2,2,until",C2,54.5,4
a-D-GlcpNAc," 4,3,2,2,until",C3,70.0,4
a-D-GlcpNAc," 4,3,2,2,until",C4,80.0,4
a-D-GlcpNAc," 4,3,2,2,until",C5,71.1,4
b-D-Galp," 4,4,3,2,2,until",C1,103.8,5
b-D-Galp," 4,4,3,2,2,until",C2,72.0,5
b-D-Galp," 4,4,3,2,2,until",C3,73.8,5
b-D-Galp," 4,4,3,2,2,until",C4,76.7,5
b-D-Galp," 4,4,3,2,2,until",C5,75.6,5
