Residual,Connection,Atom,Shift
b-D-Glcp," 4,until",H1,4.55
b-D-Glcp," 4,until",H2,3.34
b-D-Glcp," 4,until",H3,3.64
b-D-Glcp," 4,until",H4,3.65
b-D-Glcp," 4,until",H5,3.63
b-D-Glcp," 4,until",H61,3.99
b-D-Glcp," 4,until",H62,3.83
b-D-Galp," 4,4,until",H1,4.479
b-D-Galp," 4,4,until",H2,3.65
b-D-Galp," 4,4,until",H3,3.74
b-D-Galp," 4,4,until",H4,4.259
b-D-Galp," 4,4,until",H5,3.75
b-D-Galp," 4,4,until",H61,3.87
b-D-Galp," 4,4,until",H62,3.81
a-D-Glcp," 4,4,4,until",H1,4.874
a-D-Glcp," 4,4,4,until",H2,3.503
a-D-Glcp," 4,4,4,until",H3,3.73
a-D-Glcp," 4,4,4,until",H4,3.66
a-D-Glcp," 4,4,4,until",H5,4.35
a-D-Glcp," 4,4,4,until",H61,4.221
a-D-Glcp," 4,4,4,until",H62,4.01
b-D-GlcpA," 6,4,4,4,until",H1,4.525
b-D-GlcpA," 6,4,4,4,until",H2,3.43
b-D-GlcpA," 6,4,4,4,until",H3,3.65
b-D-GlcpA," 6,4,4,4,until",H4,3.76
b-D-GlcpA," 6,4,4,4,until",H5,3.86
b-D-GlcpNAc," 3,4,4,until",H1,4.648
b-D-GlcpNAc," 3,4,4,until",H2,3.6
b-D-GlcpNAc," 3,4,4,until",H3,3.55
b-D-GlcpNAc," 3,4,4,until",H4,3.31
b-D-GlcpNAc," 3,4,4,until",H5,3.41
b-D-GlcpNAc," 3,4,4,until",H61,3.904
b-D-GlcpNAc," 3,4,4,until",H62,3.69
b-D-GlcpNAc," 3,4,4,until",NAC,2.028
b-D-Glcp," 4,until",C1,102.9
b-D-Glcp," 4,until",C2,73.97
b-D-Glcp," 4,until",C3,75.14
b-D-Glcp," 4,until",C4,79.66
b-D-Glcp," 4,until",C5,75.74
b-D-Glcp," 4,until",C6,61.23
b-D-Galp," 4,4,until",C1,104.04
b-D-Galp," 4,4,until",C2,71.43
b-D-Galp," 4,4,until",C3,81.66
b-D-Galp," 4,4,until",C5,75.74
b-D-Galp," 4,4,until",C6,60.93
a-D-Glcp," 4,4,4,until",C1,99.75
a-D-Glcp," 4,4,4,until",C2,72.79
a-D-Glcp," 4,4,4,until",C3,73.75
a-D-Glcp," 4,4,4,until",C4,69.89
a-D-Glcp," 4,4,4,until",C5,71.03
a-D-Glcp," 4,4,4,until",C6,68.61
b-D-GlcpA," 6,4,4,4,until",C1,103.26
b-D-GlcpA," 6,4,4,4,until",C2,73.67
b-D-GlcpA," 6,4,4,4,until",C3,75.32
b-D-GlcpA," 6,4,4,4,until",C4,81.4
b-D-GlcpA," 6,4,4,4,until",C5,76.95
b-D-GlcpA," 6,4,4,4,until",C6,175.2
b-D-GlcpNAc," 3,4,4,until",C1,103.84
b-D-GlcpNAc," 3,4,4,until",C2,56.73
b-D-GlcpNAc," 3,4,4,until",C3,74.9
b-D-GlcpNAc," 3,4,4,until",C4,71.56
b-D-GlcpNAc," 3,4,4,until",C5,76.81
b-D-GlcpNAc," 3,4,4,until",C6,62.38
b-D-GlcpNAc," 3,4,4,until",2CO,175.2
b-D-GlcpNAc," 3,4,4,until",2CH3,23.14
