Residual,Connection,Atom,Shift
B-D-GLCPNAC, ,H1,4.77
B-D-GLCPNAC, ,H2,3.86
B-D-GLCPNAC, ,H3,4.09
B-D-GLCPNAC, ,H4,3.76
B-D-GLCPNAC, ,H5,3.57
B-D-GLCPNAC, ,H6 a,3.87
B-D-GLCPNAC, ,H6 b,3.97
B-D-GLCPNAC, ,NAc,2.05
B-D-GALP,3,H1,4.52
B-D-GALP,3,H2,3.5
B-D-GALP,3,H3,3.62
B-D-GALP,3,H4,3.92
B-D-GALP,3,H5,3.58
B-D-GALP,3,H6 a,3.78
B-D-GALP,3,H6 b,3.78
A-L-FUCP,4,H1,5.03
A-L-FUCP,4,H2,3.82
A-L-FUCP,4,H3,3.89
A-L-FUCP,4,H4,3.8
A-L-FUCP,4,H5,4.78
A-L-FUCP,4,H6,1.21
B-D-GLCPNAC, ,C1,95.64
B-D-GLCPNAC, ,C2,57.92
B-D-GLCPNAC, ,C3,77.19
B-D-GLCPNAC, ,C4,73.5
B-D-GLCPNAC, ,C5,76.49
B-D-GLCPNAC, ,C6,61.12
B-D-GLCPNAC, ,CH3,23.19
B-D-GLCPNAC, ,CO,175.54
B-D-GALP,3,C1,103.46
B-D-GALP,3,C2,71.56
B-D-GALP,3,C3,73.46
B-D-GALP,3,C4,69.25
B-D-GALP,3,C5,75.66
B-D-GALP,3,C6,61.78
A-L-FUCP,4,C1,98.81
A-L-FUCP,4,C2,68.83
A-L-FUCP,4,C3,70.14
A-L-FUCP,4,C4,72.85
A-L-FUCP,4,C5,67.59
A-L-FUCP,4,C6,16.22
