Residual,Connection,Atom,Shift,Residual Num
b-D-Glcp," 4,until",H1,4.55,1
b-D-Glcp," 4,until",H2,3.34,1
b-D-Glcp," 4,until",H3,3.64,1
b-D-Glcp," 4,until",H4,3.65,1
b-D-Glcp," 4,until",H5,3.63,1
b-D-Glcp," 4,until",H61,3.99,1
b-D-Glcp," 4,until",H62,3.83,1
b-D-Galp," 4,4,until",H1,4.479,2
b-D-Galp," 4,4,until",H2,3.65,2
b-D-Galp," 4,4,until",H3,3.74,2
b-D-Galp," 4,4,until",H4,4.259,2
b-D-Galp," 4,4,until",H5,3.75,2
b-D-Galp," 4,4,until",H61,3.87,2
b-D-Galp," 4,4,until",H62,3.81,2
a-D-Glcp," 4,4,4,until",H1,4.874,3
a-D-Glcp," 4,4,4,until",H2,3.503,3
a-D-Glcp," 4,4,4,until",H3,3.73,3
a-D-Glcp," 4,4,4,until",H4,3.66,3
a-D-Glcp," 4,4,4,until",H5,4.35,3
a-D-Glcp," 4,4,4,until",H61,4.221,3
a-D-Glcp," 4,4,4,until",H62,4.01,3
b-D-GlcpA," 6,4,4,4,until",H1,4.525,4
b-D-GlcpA," 6,4,4,4,until",H2,3.43,4
b-D-GlcpA," 6,4,4,4,until",H3,3.65,4
b-D-GlcpA," 6,4,4,4,until",H4,3.76,4
b-D-GlcpA," 6,4,4,4,until",H5,3.86,4
b-D-GlcpNAc," 3,4,4,until",H1,4.648,5
b-D-GlcpNAc," 3,4,4,until",H2,3.6,5
b-D-GlcpNAc," 3,4,4,until",H3,3.55,5
b-D-GlcpNAc," 3,4,4,until",H4,3.31,5
b-D-GlcpNAc," 3,4,4,until",H5,3.41,5
b-D-GlcpNAc," 3,4,4,until",H61,3.904,5
b-D-GlcpNAc," 3,4,4,until",H62,3.69,5
b-D-GlcpNAc," 3,4,4,until",NAC,2.028,5
b-D-Glcp," 4,until",C1,102.9,1
b-D-Glcp," 4,until",C2,73.97,1
b-D-Glcp," 4,until",C3,75.14,1
b-D-Glcp," 4,until",C4,79.66,1
b-D-Glcp," 4,until",C5,75.74,1
b-D-Glcp," 4,until",C6,61.23,1
b-D-Galp," 4,4,until",C1,104.04,2
b-D-Galp," 4,4,until",C2,71.43,2
b-D-Galp," 4,4,until",C3,81.66,2
b-D-Galp," 4,4,until",C5,75.74,2
b-D-Galp," 4,4,until",C6,60.93,2
a-D-Glcp," 4,4,4,until",C1,99.75,3
a-D-Glcp," 4,4,4,until",C2,72.79,3
a-D-Glcp," 4,4,4,until",C3,73.75,3
a-D-Glcp," 4,4,4,until",C4,69.89,3
a-D-Glcp," 4,4,4,until",C5,71.03,3
a-D-Glcp," 4,4,4,until",C6,68.61,3
b-D-GlcpA," 6,4,4,4,until",C1,103.26,4
b-D-GlcpA," 6,4,4,4,until",C2,73.67,4
b-D-GlcpA," 6,4,4,4,until",C3,75.32,4
b-D-GlcpA," 6,4,4,4,until",C4,81.4,4
b-D-GlcpA," 6,4,4,4,until",C5,76.95,4
b-D-GlcpA," 6,4,4,4,until",C6,175.2,4
b-D-GlcpNAc," 3,4,4,until",C1,103.84,5
b-D-GlcpNAc," 3,4,4,until",C2,56.73,5
b-D-GlcpNAc," 3,4,4,until",C3,74.9,5
b-D-GlcpNAc," 3,4,4,until",C4,71.56,5
b-D-GlcpNAc," 3,4,4,until",C5,76.81,5
b-D-GlcpNAc," 3,4,4,until",C6,62.38,5
b-D-GlcpNAc," 3,4,4,until",2CO,175.2,5
b-D-GlcpNAc," 3,4,4,until",2CH3,23.14,5
