Residual,Connection,Atom,Shift,Residual Num
a-D-GalpNAc,3,H1,4.884,1
a-D-GalpNAc,3,H2,4.336,1
a-D-GalpNAc,3,H3,4.079,1
a-D-GalpNAc,3,H4,4.215,1
a-D-GalpNAc,3,H5,4.18,1
a-D-GalpNAc,3,H61,4.09,1
a-D-GalpNAc,3,H62,3.36,1
b-D-GlcpNAc," 6,3",H1,4.572,4
b-D-GlcpNAc," 6,3",H2,3.751,4
b-D-GlcpNAc," 6,3",H3,3.7,4
b-D-GlcpNAc," 6,3",H4,3.72,4
b-D-GlcpNAc," 6,3",H5,3.6,4
b-D-GlcpNAc," 6,3",H61,4.0,4
b-D-GlcpNAc," 6,3",H62,3.85,4
b-D-Galp," 4,6,3",H1,4.554,5
b-D-Galp," 4,6,3",H2,3.579,5
b-D-Galp," 4,6,3",H3,4.118,5
b-D-Galp," 4,6,3",H4,3.965,5
b-D-Galp," 4,6,3",H5,3.73,5
a-D-Neup5Ac," 3,4,6,3",H31,1.8,6
a-D-Neup5Ac," 3,4,6,3",H32,2.769,6
a-D-Neup5Ac," 3,4,6,3",H4,3.7,6
a-D-Neup5Ac," 3,4,6,3",H5,3.846,6
a-D-Neup5Ac," 3,4,6,3",H6,3.642,6
a-D-Neup5Ac," 3,4,6,3",H7,3.6,6
a-D-Neup5Ac," 3,4,6,3",H8,3.9,6
a-D-Neup5Ac," 3,4,6,3",H91,3.86,6
a-D-Neup5Ac," 3,4,6,3",H92,3.65,6
b-D-Galp," 3,3",H1,4.532,2
b-D-Galp," 3,3",H2,3.531,2
b-D-Galp," 3,3",H3,4.066,2
b-D-Galp," 3,3",H4,3.937,2
b-D-Galp," 3,3",H5,3.64,2
b-D-Galp," 3,3",H61,3.73,2
b-D-Galp," 3,3",H62,3.73,2
a-D-Neup5Ac," 3,3,3",H31,1.783,3
a-D-Neup5Ac," 3,3,3",H32,2.76,3
a-D-Neup5Ac," 3,3,3",H4,3.69,3
a-D-Neup5Ac," 3,3,3",H5,3.841,3
a-D-Neup5Ac," 3,3,3",H6,3.633,3
a-D-Neup5Ac," 3,3,3",H7,3.6,3
a-D-Neup5Ac," 3,3,3",H8,3.9,3
a-D-Neup5Ac," 3,3,3",H11,3.86,3
a-D-Neup5Ac," 3,3,3",H12,3.65,3
a-D-GalpNAc,3,C1,98.98,1
a-D-GalpNAc,3,C2,49.18,1
a-D-GalpNAc,3,C3,77.54,1
a-D-GalpNAc,3,C4,69.85,1
a-D-GalpNAc,3,C5,70.25,1
a-D-GalpNAc,3,C6,71.02,1
b-D-GlcpNAc," 6,3",C1,102.0,4
b-D-GlcpNAc," 6,3",C2,55.91,4
b-D-GlcpNAc," 6,3",C3,73.2,4
b-D-GlcpNAc," 6,3",C4,79.29,4
b-D-GlcpNAc," 6,3",C5,75.67,4
b-D-GlcpNAc," 6,3",C6,60.97,4
b-D-Galp," 4,6,3",C1,103.51,5
b-D-Galp," 4,6,3",C2,70.26,5
b-D-Galp," 4,6,3",C3,76.38,5
b-D-Galp," 4,6,3",C4,68.38,5
b-D-Galp," 4,6,3",C5,76.06,5
b-D-Galp," 4,6,3",C6,61.89,5
a-D-Neup5Ac," 3,4,6,3",C2,100.71,6
a-D-Neup5Ac," 3,4,6,3",C3,40.67,6
a-D-Neup5Ac," 3,4,6,3",C4,69.19,6
a-D-Neup5Ac," 3,4,6,3",C5,52.58,6
a-D-Neup5Ac," 3,4,6,3",C6,73.78,6
a-D-Neup5Ac," 3,4,6,3",C7,69.03,6
a-D-Neup5Ac," 3,4,6,3",C8,72.63,6
a-D-Neup5Ac," 3,4,6,3",C9,63.5,6
b-D-Galp," 3,3",C1,105.3,2
b-D-Galp," 3,3",C2,69.88,2
b-D-Galp," 3,3",C3,76.52,2
b-D-Galp," 3,3",C4,68.24,2
b-D-Galp," 3,3",C5,75.65,2
b-D-Galp," 3,3",C6,61.86,2
a-D-Neup5Ac," 3,3,3",C2,101.31,3
a-D-Neup5Ac," 3,3,3",C3,41.08,3
a-D-Neup5Ac," 3,3,3",C4,69.23,3
a-D-Neup5Ac," 3,3,3",C5,52.61,3
a-D-Neup5Ac," 3,3,3",C6,73.68,3
a-D-Neup5Ac," 3,3,3",C7,69.03,3
a-D-Neup5Ac," 3,3,3",C9,63.45,3
