Residual,Connection,Atom,Shift,Residual Num
A-L-ARAF, ,H1,5.17,1
A-L-ARAF,2,H1,5.11,2
A-L-ARAF,2,H2,4.055,2
A-L-ARAF,2,H3,3.885,2
A-L-ARAF,2,H4,4.0,2
A-L-ARAF,2,H51,3.76,2
A-L-ARAF,2,H52,3.66,2
A-L-ARAF,3,H1,5.11,3
A-L-ARAF,3,H2,4.055,3
A-L-ARAF,3,H3,3.885,3
A-L-ARAF,3,H4,4.0,3
A-L-ARAF,3,H51,3.76,3
A-L-ARAF,3,H52,3.66,3
A-L-ARAF,5,H1,5.01,4
A-L-ARAF,5,H2,4.05,4
A-L-ARAF,5,H3,3.93,4
A-L-ARAF,5,H4,4.13,4
A-L-ARAF,5,H51,3.8,4
A-L-ARAF,5,H52,3.73,4
A-L-ARAF," 5, 5",H1,5.17,5
A-L-ARAF," 5, 5",H2,4.085,5
A-L-ARAF," 5, 5",H3,4.085,5
A-L-ARAF," 5, 5",H4,4.215,5
A-L-ARAF," 5, 5, 2",H1,5.11,6
A-L-ARAF," 5, 5, 2",H2,4.055,6
A-L-ARAF," 5, 5, 2",H3,3.885,6
A-L-ARAF," 5, 5, 2",H4,4.0,6
A-L-ARAF," 5, 5, 2",H51,3.76,6
A-L-ARAF," 5, 5, 2",H52,3.66,6
A-L-ARAF," 5, 5, 5",H1,5.01,7
A-L-ARAF," 5, 5, 5, 3",H1,5.11,8
A-L-ARAF," 5, 5, 5, 3",H2,4.055,8
A-L-ARAF," 5, 5, 5, 3",H3,3.885,8
A-L-ARAF," 5, 5, 5, 3",H4,4.0,8
A-L-ARAF," 5, 5, 5, 3",H51,3.76,8
A-L-ARAF," 5, 5, 5, 3",H52,3.66,8
A-L-ARAF, ,C1,107.2,1
A-L-ARAF, ,C2,87.67,1
A-L-ARAF, ,C3,75.98,1
A-L-ARAF, ,C4,79.88,1
A-L-ARAF, ,C5,67.2,1
A-L-ARAF,2,C1,107.9,2
A-L-ARAF,2,C2,82.13,2
A-L-ARAF,2,C3,77.33,2
A-L-ARAF,2,C4,84.81,2
A-L-ARAF,2,C5,61.9,2
A-L-ARAF,3,C1,107.9,3
A-L-ARAF,3,C2,82.13,3
A-L-ARAF,3,C3,77.33,3
A-L-ARAF,3,C4,84.81,3
A-L-ARAF,3,C5,61.9,3
A-L-ARAF,5,C1,108.3,4
A-L-ARAF,5,C2,81.59,4
A-L-ARAF,5,C3,77.5,4
A-L-ARAF,5,C4,83.12,4
A-L-ARAF,5,C5,67.65,4
A-L-ARAF," 5, 5",C1,107.2,5
A-L-ARAF," 5, 5, 2",C1,107.9,6
A-L-ARAF," 5, 5, 2",C2,82.13,6
A-L-ARAF," 5, 5, 2",C3,77.33,6
A-L-ARAF," 5, 5, 2",C4,84.81,6
A-L-ARAF," 5, 5, 2",C5,61.9,6
A-L-ARAF," 5, 5, 5",C1,108.3,7
A-L-ARAF," 5, 5, 5",C5,67.65,7
A-L-ARAF," 5, 5, 5, 3",C1,107.9,8
A-L-ARAF," 5, 5, 5, 3",C2,8.13,8
A-L-ARAF," 5, 5, 5, 3",C3,77.33,8
A-L-ARAF," 5, 5, 5, 3",C4,84.81,8
A-L-ARAF," 5, 5, 5, 3",C5,61.9,8
